country,year,entity_content,concreteness_score,event_name,evidentiary_use,evidenti_use
POL,2016,European Union,3.71,unspecified,neutral report,
POL,2017,European Union,3.5,unspecified,unspecified,
POL,2020,European Union,3.5,unspecified,unspecified,
POL,2020,European Union,3.543,revision of the law,neutral report,
POL,2021,Belarus,3.577,unspecified,unspecified,
POL,2021,Ukraine,3.517,unspecified,unspecified,
POL,2022,Germany,3.65,unspecified,unspecified,
POL,2022,European Union,3.567,unspecified,unspecified,
TUR,2016,European Union,3.502,unspecified,neutral_report,
TUR,2017,Black Sea,3.5,unspecified,unspecified,
TUR,2022,United States,4.224,unspecified,,unspecified
TUR,2022,United States,4.224,unspecified,,unspecified
TUR,2022,United States,4.224,unspecified,,unspecified
TUR,2022,United States,4.224,unspecified,,unspecified
TUR,2022,United States,4.224,unspecified,,unspecified
TUR,2022,United States,4.224,unspecified,,unspecified
BEL,2016,Schengen,3.56,unspecified,unspecified,
BEL,2016,Turkey,3.5,EU-Turkey deal relocation,justify restriction,
BEL,2019,Syria,3.587,unspecified,unspecified,
BEL,2019,Syria,3.5,unspecified,neutral_report,
BEL,2020,United Kingdom,3.579,unspecified,complicates,
BEL,2021,European Union,3.552,improving external borders protection,neutral report,
BEL,2021,Europe,3.5,unspecified,unspecified,
BEL,2022,Poland,3.7,unspecified,unspecified,
ITA,2013,Europe,3.533,unspecified,express solidarity,
ITA,2013,Democratic Republic of Congo,3.518,adoption,unspecified,
ITA,2019,Turkey,3.521,unspecified,justify restriction,
ITA,2019,Turkey,3.595,unspecified,unspecified,
ITA,2020,Malta,3.518,unspecified,unspecified,
ITA,2020,Finland,3.569,unspecified,unspecified,
ITA,2020,Spain,3.514,unspecified,unspecified,
ITA,2020,Malta,3.514,unspecified,unspecified,
SWE,2015,Iran,3.514,unspecified,neutral_report,
SWE,2016,Israel,3.56,unspecified,express solidarity,
SWE,2017,Denmark,3.51,unspecified,express solidarity,
SWE,2017,Denmark,3.517,border management,justify restriction,
SWE,2018,European Union,3.5,unspecified,unspecified,
SWE,2018,Iraq,3.526,unspecified,unspecified,
SWE,2019,European Union,3.515,border control and anti-smuggling efforts,justify restriction,
SWE,2021,European Union,3.529,unspecified,push institutional reform,
AUT,2015,Hungary,3.53,unspecified,express solidarity,
AUT,2015,European Union,3.54,unspecified,unspecified,
AUT,2016,European Union,3.542,unspecified,justify restriction,
AUT,2016,European Union,3.552,unspecified,neutral_report,
AUT,2017,European Union,3.5,refugee crisis,push institutional reform,
AUT,2018,Tunisia,3.527,unspecified,neutral report,
AUT,2018,Europe,3.527,unspecified,unspecified,
AUT,2020,Afghanistan,3.615,unspecified,justify restriction,
CZE,2015,European Union,3.6,unspecified,push institutional reform,
CZE,2015,Hungary,3.558,unspecified,neutral report,
CZE,2016,European Union,3.597,unspecified,push institutional reform,
CZE,2016,Turkey,3.515,unspecified,push institutional reform,
CZE,2017,Europe,3.609,unspecified,unspecified,
CZE,2018,Europe,3.667,unspecified,neutral report,
CZE,2018,European Union,3.62,unspecified,unspecified,
CZE,2021,European Union,3.6,unspecified,criticize,
FRA,2017,European Union,3.543,European Union border externalization,push institutional reform,
FRA,2018,European Union,3.53,rejected people,unspecified,
FRA,2019,North Sea,3.527,unspecified,unspecified,
FRA,2019,Mayotte,3.508,asylum process in Mayotte,justify restriction,
FRA,2019,European Union,3.65,unspecified,unspecified,
FRA,2019,Belgium,3.538,unspecified,unspecified,
FRA,2019,European Union,3.585,establishment_of_controlled_centres,push_institutional_reform,
FRA,2021,European Union,3.504,sanctions,unspecified,
GBR,2015,Europe,3.56,support for Syrian migrants,express solidarity,
GBR,2016,Europe,3.517,unspecified,neutral report,
GBR,2017,European Union,3.506,family reunification under Dublin regulations,neutral report,
GBR,2017,Africa,3.541,unspecified,express solidarity,
GBR,2017,Europe,3.541,unspecified,unspecified,
GBR,2017,European Union,3.515,unspecified,demand burden-sharing,
GBR,2019,European Union,3.506,unspecified,unspecified,
GBR,2020,European Union,3.65,Brexit,express solidarity,
LVA,2016,European Union,3.56,unspecified,neutral_report,
LVA,2018,European Union,3.604,unspecified,push institutional reform,
LVA,2019,European Union,3.526,unspecified,unspecified,
LVA,2019,European Union,3.92,unspecified,unspecified,
LVA,2019,European Union,3.5,unspecified,unspecified,
LVA,2020,United States,3.5,Russian ban on US adoptions in response to Magnitsky sanctions,push institutional reform,
LVA,2021,Belarus,3.593,unspecified,unspecified,
