parliament,n_mentions,dominant_framing,secondary_framing,confidence,rationale
AUT,580,security_issue,capacity_pressure,0.7,"The discourse predominantly frames migration as a security issue, particularly in relation to the potential risks to the Schengen area and the EU as a whole. There are also mentions of overload and system strain, indicating a secondary framing of capacity pressure."
FRA,633,legal_obligation,,0.85,"The majority of the snippets emphasize the legal and ethical obligations related to asylum seekers and migrants, particularly in the context of EU treaties and rights. Phrases like 'outsourcing of the right of asylum' and discussions about protecting those in need clearly indicate a focus on legal and humanitarian responsibilities."
GBR,1014,capacity_pressure,,0.8,"The majority of the snippets discuss the large number of migrants coming into the UK, emphasizing the strain on systems and the need for better management. Phrases like 'enormous number of refugees', 'tens of thousands every year', and 'shambolic visa system' indicate concerns about capacity and system strain."
EST,366,legal_obligation,demographic_need,0.7,"The discourse primarily focuses on legal obligations such as EU policies and asylum laws, particularly regarding the free movement of people within the EU. However, there is a secondary emphasis on demographic needs, specifically labor shortages and the influx of workers from Ukraine and other former Soviet states."
BGR,124,security_issue,demographic_need,0.7,"The majority of the snippets emphasize border control, concerns about uncontrolled immigration, and the potential for Bulgaria to become a 'buffer zone' for refugees. These points align strongly with a security issue framing. However, there are also mentions of demographic needs, particularly in relation to labor shortages and the integration of migrants, which suggest a secondary framing of demographic need."
NOR,326,legal_obligation,,0.8,"The majority of the snippets emphasize Norway’s legal and moral obligations to accept asylum seekers and refugees, citing agreements and international responsibilities. This is evident in mentions of accepting Syrian quota refugees and the duty to protect those fleeing conflict."
ISL,274,humanitarian_responsibility,,0.8,"The majority of the snippets emphasize the duty to protect and assist refugees, particularly those from war-torn regions. This is evident in discussions about providing aid, listening to information from children seeking refuge, and the overall societal response to the influx of refugees. While there are mentions of legal obligations and security issues, the primary focus is on the humanitarian aspect."
NLD,1048,demographic_need,,0.7,"The majority of the snippets discuss the need for labor from other countries, particularly mentioning workers from outside the EU. This indicates a focus on addressing labor shortages rather than other framing categories."
HUN,676,security_issue,,0.75,"The majority of the snippets emphasize border control, illegal immigration, and potential threats to national security. For instance, the mention of 'coordinated police action' and 'illegal immigrants' indicates a focus on security issues. While there are some mentions of humanitarian aid, they are not the primary framing."
CZE,501,security_issue,,0.75,"The majority of the snippets emphasize concerns about the potential negative impacts of migration on social systems, integration, and national security. Phrases such as 'good integration impossible', 'risk of conflict', and 'national interests' indicate a focus on security issues rather than economic or humanitarian concerns."
SVN,597,security_issue,,0.7,"The majority of the snippets emphasize concerns about the influx of migrants leading to security issues, such as terrorism and crime. For example, 'Such people sitting in Europe after terrorism and death must not be welcome to us and everything must be done to protect borders.' This framing is consistent throughout the samples provided."
TUR,381,security_issue,,0.75,"The majority of the snippets emphasize the security concerns related to migration, particularly the risk of terrorism and the potential for social turmoil due to large influxes of refugees. While there are mentions of humanitarian aspects, the primary focus is on security issues."
FIN,292,humanitarian_responsibility,mixed,0.75,"The majority of the snippets emphasize Finland's role in providing assistance to people in need, particularly through international organizations and peacekeeping efforts. This aligns strongly with a humanitarian responsibility framing. However, some snippets also touch on security issues (e.g., migration from the Middle East) and demographic needs (e.g., seasonal labor), indicating a mixed framing."
SWE,489,legal_obligation,humanitarian_responsibility,0.8,"The parliament's discourse frequently references EU responsibilities and solidarity, indicating a strong emphasis on legal obligations and humanitarian duties. Key phrases such as 'responsibilities that Europe could bear' and 'solidarity and joint responsibility' highlight this framing. While there are mentions of humanitarian issues, the primary focus remains on legal and ethical obligations towards migrants."
LVA,56,legal_obligation,,0.7,"The majority of the snippets discuss the obligations of various countries towards their citizens and the movement of people, particularly in the context of EU regulations and member states' responsibilities. This indicates a focus on legal and treaty-based obligations rather than other framing categories."
GRC,749,security_issue,humanitarian_responsibility,0.7,"The majority of the snippets emphasize the security concerns related to migration, including crime and the potential for conflict with neighboring countries. However, there are also mentions of humanitarian responsibilities, particularly regarding refugees and migrants seeking safety and better opportunities."
SRB,213,legal_obligation,,0.75,"The majority of the snippets emphasize Serbia's obligations towards visa-free regimes and its role as a responsible partner in handling asylum seekers, particularly in relation to the EU. This suggests a focus on legal and treaty-based obligations rather than other framing categories."
BIH,82,security_issue,,0.7,"The majority of the snippets focus on border control and the prevention of migration to the EU, indicating a security issue framing. While there are mentions of humanitarian assistance, it is not the primary focus of the parliament's discourse."
BEL,689,security_issue,,0.85,"The majority of the snippets emphasize border controls, surveillance, and the need to prevent illegal entry, which aligns with a security issue framing. While there are mentions of asylum seekers and refugees, the focus is primarily on managing the flow and securing borders rather than addressing humanitarian or demographic needs."
HRV,593,demographic_need,,0.75,"The majority of the snippets discuss labor shortages and the need for workers to fill gaps in the labor market, particularly in relation to neighboring countries and the EU. This framing is evident in the 2020 snippet mentioning the need for labor in Germany and other EU countries, and the 2020 snippet discussing minimum wages in neighboring countries. While there are some mentions of security issues and legal obligations, they are not the primary focus."
ITA,496,legal_obligation,,0.75,"The majority of the snippets emphasize the EU's legal obligations towards migrants, particularly regarding the return of irregular immigrants and the distribution of responsibilities among member states. This is evident in mentions of the European Union's role and the rights of immigrants, as well as discussions about the need for Europe to take responsibility for the migrant crisis."
POL,249,humanitarian_responsibility,demographic_need,0.75,"The snippets emphasize Poland's legal obligations under treaties to protect migrants and refugees, particularly those from Ukraine. There is also a focus on demographic needs, such as providing support to Ukrainian children and integrating them into Polish society. While there are mentions of capacity pressure, the primary framing revolves around Poland's responsibilities towards migrants."
