parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
HUN,SVN,0.9854,refugees / border_control; refugees / national_security; refugees / international_law,65,262,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / international_law,false,,Both Hungary and Slovenia have shown explicit recognition of each other's efforts and cooperation in managing border control and refugee issues. The high cosine similarity and numerous cross-mentions indicate a strong alignment in policy measures and shared focus areas. The samples provided show mutual acknowledgment and coordination without any signs of tension or competition.,"[{""direction"": ""HUN->SVN"", ""spans"": [""[2016] One of our country's best cooperation is with Slovenia from neighbouring countries."", ""[2020] Of the seven borders of Hungary, only Austria was prepared for the Schengen border in 2004, since then Slovakia, Slovenia and Croatia have gradually taken over this task in ten years, but we still have Serbia, Romania and Ukraine."", ""[2020] The V4 countries and the remaining five Member States, Slovenia, Latvia, Estonia, Austria and Denmark have not been able to accept compulsory solidarity."", ""[2022] We have seen Slovenia's example, the former national government, like the Hungarian government, built a fence and defended Slovenia's external borders, protected it from illegal migration, and, as soon as the left-wing government came to power, announced that it would break down this fence.""]}, {""direction"": ""SVN->HUN"", ""spans"": [""[2016] But Hungary is also not envisaged for mini-schengen, so that this structure somehow does not work or is again based on deception and also on some unfounded claim that wrong government policy has driven us out of the Schengen area."", ""[2017] Slovakia and Hungary have complained to the Court of Justice of the European Union about this measure and have even requested that they be exempted from the solidarity scheme for the relocation of refugees and refugees, but have lost."", ""[2018] This means that if we do not respect the rule of law or maybe isolate ourselves, as Hungary does, perhaps Slovakia or anyone else, we will be with the resources allocated to individual countries by the European Union."", ""[2021] First of all, it must be said that all the restrictions at our internal borders, namely at the borders between Italy, Austria and Hungary, were largely coordinated with neighbouring countries, and in particular followed those of the Council and the European Commission itself, which it had give""]}]",0.95
HRV,EST,0.9848,refugees / border_control; refugees / national_security; refugees / integration,46,2,unilateral_modeling,digital nomads,false,,"HRV explicitly models its policies after EST, particularly in the area of digital nomads. EST has implemented policies allowing digital nomads, and HRV has followed suit. However, EST does not reciprocate by mentioning HRV in any significant capacity.","[""[2020] ... I think it 's very important that we follow this example of Estonia, that we follow the way that they are regulated not excessively terms for digital nomads, for example, they only need a few things to deliver, for example e-login, proof that you can work remotely, evidence that you can only w... "", ""[2021] ... Estonia is the first European country to allow digital nomads, Croatia has done so since this year on the 1st of January this year we introduced this possibility to us. "", ""[2021] ... From Estonia we could also copy other good practices, so Estonia would say the world's first to digitise the state and local administration, so Estonia is a country of a million people, it's home to five so-called... "", ""[2021] ... Dear fellow, whether or not to regulate how much must be the minimum monthly receipts of the digital nomad that plans to stay in Croatia, such as some other countries, e.g. Estonia, which we obviously look up to or Dubai, and how much this level of reception should be, which is not an irreleva... ""]",0.9
POL,EST,0.9823,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,12,132,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both POL and EST have strong cross-mentions and explicitly acknowledge each other's positions and contributions in the context of migration and asylum policies. The mentions are frequent and reciprocal, indicating a mutual recognition of alignment.","[{""direction"": ""POL->EST"", ""spans"": [""[2016] ... only Polish, nor the problem of Visegrad, as you emphasize it, forgetting that Poland is still neighbouring poor countries such as Lithuania, Latvia, Estonia, but it is also a European problem."", ""[2018] ... Estonia has put a great deal of emphasis on the Digital Agenda for obvious reasons."", ""[2021] ... I think that the most complete presentation of the Polish position was also the list of 7 Member States, not only the Visegrad Group, but also Slovenia, Estonia, Latvia, December 2020, where we comprehensively presented the vision of a common European migration and asylum policy."", ""[2021] ... So that not only Slovenia, Croatia, Austria, but also Spain, because of different conditions, in these 2 compartments in Africa, as well as Greece, also other countries, such as Lithuania, Latvia and Estonia, which also build such fences.""]}, {""direction"": ""EST->POL"", ""spans"": [""[2018] ... Those countries that we can really count on in distress, in particular Poland, for whom we are a canary in a mine, a pre-warning system in terms of security, have actually made an incredible heroic act."", ""[2021] ... Do we know today that there is a risk that there will be the same situation at Pihkva Airport that is on the border with Belarus and Poland today?"", ""[2022] ... This tactic was used by Poland and Lithuania."", ""[2022] ... We offered important support to our neighbours, including Latvia and Poland.""]}]",0.95
HUN,LVA,0.9806,refugees / border_control; refugees / national_security; economic_migrants / integration,13,6,mutual_complaint,refugees / border_control; refugees / national_security; economic_migrants / integration,true,mutual_complaint,"Both Hungary and Latvia frequently criticize each other's policies on immigration and border control. Hungary often complains about Latvia's perceived lack of effectiveness and obedience to EU directives, while Latvia criticizes Hungary's policies as ineffective and potentially harmful to European interests. These complaints are evident in the sample mentions provided.","[{""direction"": ""HUN->LVA"", ""spans"": [""[2019] So with regard to the fertility rate, I have targeted the level in myself and in my head in Latvia, Lithuania and Iceland."", ""[2020] The V4 countries and the remaining five Member States, Slovenia, Latvia, Estonia, Austria and Denmark have not been able to accept compulsory solidarity."", ""[2020] On the basis of yesterday's discussion, it can be concluded that there is no agreement on the progress report, in addition to the V4 countries, i.e. Hungary, Poland, Slovakia and the Czech Republic, five other Member States, namely Slovenia, Latvia, Estonia, Austria and Denmark, have no"", ""[2021] How can I, since fences are now being built in many European countries, including Spain, Slovenia, Bulgaria, Estonia, Latvia, Lithuania and Poland, as they know that this is the only way to stop migration.""]}, {""direction"": ""LVA->HUN"", ""spans"": [""[2018] At the moment it seems that the policies implemented by the three European countries - Hungary, Poland and the Czech Republic - on immigration issues are much more effective and more in European interest than Latvia's empty declarations and excessive obedience to Brussels."", ""[2018] The borders were closed in Hungary and other countries."", ""[2019] But I think that if countries like Estonia, Finland, Sweden, Poland, the Czech Republic, Slovakia, the Netherlands, Slovenia, Hungary, Romania and Greece have not implemented such declarations, then we too..."", ""[2021] In addition, the Court of Justice of the European Union stated in the case ‘European Commission v Hungary’ as follows: ‘A Member State may not unduly delay the moment when the person concerned has been given the opportunity to prepare his application for international protection.’""]}]",0.85
EST,BGR,0.9798,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,3,7,silent_convergence,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"The parliaments have a high cosine similarity and share several focus areas related to refugees and border control. There are more mentions from BGR to EST (7) than from EST to BGR (3), suggesting a one-sided influence. However, the content of the mentions does not indicate explicit acknowledgment or complaint, making it a case of silent convergence.","[{""direction"": ""EST->BGR"", ""spans"": [""[2015] ... To summarise this year's action at international level, we have participated or participated in it in the following way: a speedboat with a crew of four members and one coordinating officer in Athens on the island of Samos in Greece in November and December; four migrant interviewers on the Ita"", ""[2016] ... We know that Hungary, Macedonia and Bulgaria, too, have erected a barbed fence and put riot police and army on guard back there, but nevertheless people have been able to get through it."", ""[2017] ... Unfortunately, whether or not the solution comes to this is not dependent on whether the Presidency is Malta, Germany, Estonia or Bulgaria.""]}, {""direction"": ""BGR->EST"", ""spans"": [""[2016] ... In Warsaw, a decision was made to place four multinational battalions permanently in Poland, Lithuania, Latvia and Estonia, and with this act NATO is increasing tensions at its eastern borders, as the Russian side will take response military measures, leading to dangerous escalation and confro"", ""[2018] ... I would like to compare this immediately: what Estonia did before us for example and what Austria did after us with regard to the organisation of the parliamentary sessions related to the Presidency."", ""[2018] ... Estonia is a complete security tragedy."", ""[2018] ... I can say that Estonia held its meetings in a basketball hall and Austria in a dungeon""]}]",0.7
POL,HRV,0.9726,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,10,43,mutual_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both POL and HRV show strong alignment in their migration policies, particularly in areas related to refugees, border control, and resource allocation. The high cosine similarity and numerous cross-mentions indicate a mutual modeling relationship where each parliament actively references and learns from the other's policies. The mentions of joint meetings and shared concerns further support this alignment.","[""[2016] The Visegrad Group adopted a very consistent declaration on this issue, and the Home Affairs Ministers participated in this meeting, among others. Austria, Belgium, Croatia, Slovenia and Bulgaria."", ""[2020] The Prime Minister of Croatia said: sustainable development, migration policy, enlargement to the Balkans."", ""[2021] So that not only Slovenia, Croatia, Austria, but also Spain, because of different conditions, in these 2 compartments in Africa, as well as Greece, also other countries, such as Lithuania, Latvia and Estonia, which also build such fences."", ""[2019] I was in Krynica a week ago in Poland at an international forum where the topic was just enlargement and an idea emerged, there were people of different profiles and democrats and Social Democrats, among other things in that panel was Hannes Swoboda, former head of the Socialist Club in the Europ."", ""[2021] But we're not even on this route that came here yesterday night by the Polish Prime Minister Moravecki to say he's having a hard time seeing the destabilising of Poland, Lithuania and Latvia, where he's being organised by illegal migrants from Belarus, where the other government is pushing the.""]",0.95
ITA,TUR,0.9722,refugees / national_security; refugees / border_control; refugees / international_law,164,16,mutual_complaint,refugees / national_security; refugees / border_control; refugees / international_law,true,mutual_complaint,"Both Italy and Turkey frequently express concerns and complaints about each other regarding the handling of refugees and related issues. Italy criticizes Turkey's role in the EU-Turkey deal and Turkey's stance on asylum seekers. Italy also mentions financial agreements and the impact on Central European countries, while Turkey complains about Italy and other European countries' immigration policies and the competition for resources.","[{""direction"": ""ITA->TUR"", ""spans"": [""[2017] We are aware of the controversial aspects of the EU - Turkey Declaration"", ""[2019] There is a long debate to be had, and I do not know whether Turkey's isolation is also due to the fact that Europe has not fully believed in investing in the possibility of keeping Turkey more within its perimeter and its area of influence"", ""[2020] However, it is not new: Turkey collected six billion euros from Europe a few years ago in order not to use the flows to our disadvantage and to our detriment, in particular to the detriment of the countries of Central Europe""]}, {""direction"": ""TUR->ITA"", ""spans"": [""[2016] Refugees from Turkey to Greece and Italy will be sent to Turkey, which is considered the third secure country if they do not apply for asylum or are rejected"", ""[2019] In many European Union countries, primarily Britain, France, Italy and Germany, anti-immigration and anti-immigration parties, partly anti-Islamic and Muslim, seem to have raised their vote"", ""[2020] Right now, even bad countries like Italy and Spain have passed by at the rate of a 15 percent increase in cases, and we're competing with the United States""]}]",0.8
POL,BGR,0.9707,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,19,32,mutual_complaint,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,true,mutual_complaint,"Both Poland (POL) and Bulgaria (BGR) frequently mention each other in the context of migration and refugee issues, with a significant number of mentions in both directions. However, the content of these mentions suggests mutual complaints rather than explicit acknowledgment or coordination. For instance, Poland mentions Bulgaria in the context of expulsions and Schengen countries, while Bulgaria mentions Poland in the context of migration policies and relief measures. This indicates a pattern of mutual criticism or concern regarding migration policies.","[{""direction"": ""POL->BGR"", ""text"": ""For example, the Bucharest Nine - you forget about this country in general, about the active role of Poland in this format, in strengthening the eastern NATO flank, including that it is with the countries of the V4 group, i.e. Bulgaria, Romania, the Baltic countries, we find a common language..."", ""year"": 2019}, {""direction"": ""BGR->POL"", ""text"": ""The Czech Republic, Poland and Hungary said 'no', we will not accept any further."", ""year"": 2017}]",0.8
AUT,HUN,0.9705,refugees / border_control; refugees / national_security; refugees / international_law,199,228,administrative_coordination,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both parliaments frequently mention coordination efforts and consultations at border police levels, indicating operational cooperation rather than ideological or competitive tensions. The samples show discussions and actions taken together, such as video conferences and summits, which suggest a collaborative approach to managing migration.","[""[2015] ... If someone travels 1,000 miles , on foot , on buses , many weeks , then to say that we will solve the problem in Croatia , in Slovenia , in Austria , in Hungary , is too late . ..."", ""[2018] ... Consultations with Hungary and Slovenia took place at border police level at the beginning of April 2018 through video conferences . ..."", ""[2021] ... It should still be better left to the individual Member States to deal with their own migration issue – I am thinking only of 2015 , and of Hungary , which has actually been committed to really protecting the external borders in the storm of refugees , as well as of the EU treaties in accordance wit ..."", ""[2022] ... The Federal Chancellor was yesterday at a migration summit in Hungary . ..."", ""[2015] ... Austria ? ..."", ""[2018] ... As of March 2016 , in line with the steps taken by Serbia , Croatia , Slovenia and Austria , Macedonia only allows migrants with valid passports and visas to enter the territory , which virtually closed its borders . ..."", ""[2018] ... Many foreign migrant workers working in Austria also choose this route . ..."", ""[2021] ... So if you want to knock somewhere , you will address this sentence in the wrong place , because it was Viktor Orbán who stopped migration in 2016 , who built a fence , and we have been defending Hungary not only with the legal border closure , the fence and the lively border protection , but also Au ...""]",0.9
CZE,EST,0.9703,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,5,22,mutual_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both CZE and EST exhibit strong alignment in their policy measures regarding refugees, border control, and national security. The high cosine similarity (0.970) and the top shared focus areas indicate a significant overlap in their approaches. CZE mentions EST frequently in the context of anti-immigration movements and humanitarian efforts, while EST mentions CZE in discussions about EU practices and challenges. However, there is no explicit acknowledgment of each other as models or allies, and the mentions are not primarily focused on mutual complaints or competition.","[{""direction"": ""CZE->EST"", ""spans"": [""[2016] With Pegida, Estonia, the conservative party, with the League of the North, with the Polish Kukiz©15 and the twenty other anti-immigration movements in the European Union Fortress Europe, we want nothing more than to return the European Union before the Treaty of Lisbon."", ""[2016] For the sake of completeness, I would add that the right of participation in municipal elections is currently granted to all long-term residents in these countries in the European Union: Ireland, Sweden, Denmark, the Netherlands, Hungary, Finland, Estonia, Slovakia, Slovenia, Luxembourg"", ""[2018] I would like to stress that many European Union countries have implemented or implemented humanitarian adoption programmes for these children and take over their asylum procedures, be it Great Britain, Estonia, Ireland, Portugal, Lithuania, Latvia, Finland"", ""[2022] We help in places as diverse as Estonia, Latvia, Lithuania, Poland, Slovakia and Hungary, the Mediterranean, Bosnia and Herzegovina, Libya, Mali and so on.""]}, {""direction"": ""EST->CZE"", ""spans"": [""[2016] Do you agree that the qualified majority at the meetings of the Council of the European Union is legally contrary to sovereignty issues and that the European Commission has harmed Hungary, Poland, the Czech Republic and Slovakia?"", ""[2021] I will now address for a moment the draft explanatory memorandum and its paragraph on 'Member States' practice in challenging visas in the case of Latvia, Finland, Sweden, the Czech Republic and Poland'."", ""[2022] In the Czech Republic, 3% of the population were refugees from war."", ""[2022] For example, the United States does not accept Ukrainian war refugees from Russia, nor does the Czech Republic.""]}]",0.85
