parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
HUN,SVN,0.9854,refugees / border_control; refugees / national_security; refugees / international_law,65,262,mutual_complaint,,,,,,
EST,HRV,0.9848,refugees / border_control; refugees / national_security; refugees / integration,2,46,unilateral_modeling,,,,,,
POL,EST,0.9823,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,12,132,mutual_acknowledged_alignment,,,,,,
HUN,LVA,0.9806,refugees / border_control; refugees / national_security; economic_migrants / integration,13,6,mutual_complaint,,,,,,
BGR,EST,0.9798,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,7,3,mutual_complaint,,,,,,
POL,HRV,0.9726,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,10,43,mutual_acknowledged_alignment,,,,,,
TUR,ITA,0.9722,refugees / national_security; refugees / border_control; refugees / international_law,16,164,mutual_acknowledged_alignment,,,,,,
POL,BGR,0.9707,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,19,32,mutual_acknowledged_alignment,,,,,,
HUN,AUT,0.9705,refugees / border_control; refugees / national_security; refugees / international_law,228,199,mutual_acknowledged_alignment,,,,,,
CZE,EST,0.9703,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,5,22,mutual_acknowledged_alignment,,,,,,
ISL,BGR,0.9672,refugees / border_control; refugees / national_security; refugees / international_law,13,0,mutual_complaint,,,,,,
GRC,BGR,0.9671,refugees / border_control; refugees / national_security; refugees / international_law,80,184,mutual_complaint,,,,,,
BIH,PRT,0.9666,refugees / international_law; refugees / national_security; refugees / border_control,0,1,unilateral_modeling,,,,,,
HUN,HRV,0.9637,refugees / border_control; refugees / national_security; economic_migrants / integration,95,128,mutual_acknowledged_alignment,,,,,,
GRC,ISL,0.9628,refugees / border_control; refugees / national_security; refugees / international_law,0,384,mutual_complaint,,,,,,
NLD,GRC,0.9619,refugees / border_control; refugees / international_law; refugees / national_security,1022,62,silent_convergence,,,,,,
SVN,LVA,0.9592,refugees / border_control; refugees / national_security; economic_migrants / integration,11,2,unilateral_modeling,,,,,,
HUN,BGR,0.9589,refugees / border_control; refugees / national_security; refugees / international_law,63,50,mutual_acknowledged_alignment,,,,,,
LVA,HRV,0.9588,refugees / border_control; refugees / national_security; economic_migrants / integration,5,4,administrative_coordination,,,,,,
NLD,SWE,0.9587,refugees / border_control; refugees / international_law; refugees / national_security,94,37,mutual_acknowledged_alignment,,,,,,
BGR,SVN,0.9579,refugees / border_control; refugees / national_security; refugees / international_law,2,21,mutual_complaint,,,,,,
HUN,EST,0.9576,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,6,61,mutual_acknowledged_alignment,,,,,,
SVN,AUT,0.9572,refugees / border_control; refugees / national_security; refugees / international_law,923,64,mutual_complaint,,,,,,
BGR,HRV,0.9565,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,7,34,mutual_acknowledged_alignment,,,,,,
ISL,SWE,0.9553,refugees / border_control; refugees / national_security; refugees / international_law,162,5,mutual_complaint,,,,,,
POL,CZE,0.9548,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,35,120,mutual_acknowledged_alignment,,,,,,
