parliament,n_mentions,dominant_framing,secondary_framing,confidence,rationale
BIH,82,security_issue,legal_obligation,0.6,"The majority of the snippets discuss border control and the prevention of migrants entering Bosnia and Herzegovina, indicating a focus on security issues. However, there are also mentions of legal obligations related to migration, such as the handling of migrants and the implementation of border crossing rules."
PRT,183,security_issue,demographic_need,0.6,"The majority of the snippets emphasize the perceived dangers associated with migration, particularly focusing on security concerns such as potential threats to society and the need to protect national values. There is also a secondary theme of addressing demographic needs, especially concerning labor shortages, though this is less prominent."
AUT,580,demographic_need,security_issue,0.6,"The majority of the snippets emphasize the need for skilled workers from Syria to address labor shortages in Germany, indicating a focus on demographic needs. However, there are also mentions of potential overloads and risks associated with large influxes of refugees, suggesting some framing around security issues."
ESP,265,legal_obligation,security_issue,0.6,"The majority of the snippets discuss Spain's obligations towards other countries, particularly regarding financial support and negotiations, indicating a focus on legal and treaty-based obligations. However, there are also mentions of security concerns related to migration, such as the influx of migrants and the opening of borders, suggesting a secondary framing around security issues."
NLD,1048,legal_obligation,demographic_need,0.6,"The majority of the snippets discuss the legal obligations and moral responsibilities towards refugees and migrants, particularly in terms of respecting human rights and international agreements. There is also a secondary focus on addressing labor shortages, especially mentioning workers from outside the EU."
HUN,676,security_issue,demographic_need,0.6,"The majority of the snippets emphasize security concerns related to border control and public safety, particularly in the context of illegal immigration and potential threats. However, there are also mentions of demographic needs, such as addressing labor shortages and supporting young people, indicating a mix of framing."
ISL,274,humanitarian_responsibility,demographic_need,0.6,"The discourse predominantly emphasizes the duty to protect and assist refugees, especially those from war-torn regions, which aligns with humanitarian responsibility. However, there are also mentions of demographic needs, particularly labor shortages, which suggest a secondary framing."
SWE,489,legal_obligation,humanitarian_responsibility,0.85,"The majority of the snippets emphasize Sweden's legal and moral obligations towards refugees and migrants, particularly in the context of EU responsibilities and humanitarian duties. There is also a clear focus on the legal aspects of migration, such as asylum laws and the EU's mass refugee directive."
FRA,633,legal_obligation,security_issue,0.6,"The majority of the snippets emphasize the legal and moral obligations related to asylum and the protection of migrants, which aligns with the 'legal_obligation' framing. However, there are also mentions of security issues, particularly regarding the movement of migrants and potential threats to the Schengen system, which supports the 'security_issue' framing."
GRC,749,security_issue,demographic_need,0.6,"The majority of the snippets emphasize the security concerns related to migration, including crime, illegal immigration, and threats. However, there are also mentions of demographic needs, such as labor shortages, which suggest a mixed framing but with a stronger emphasis on security issues."
