parliament,n_mentions,dominant_framing,dominant_frame
ITA,496,legal_obligation,
BGR,124,,security_issue
GBR,1014,,capacity_pressure
PRT,183,,security_issue
CZE,501,,security_issue
SVN,597,,security_issue
FRA,633,,legal_obligation
ISL,274,,humanitarian_responsibility
ESP,265,,security_issue
GRC,749,,security_issue
LVA,56,,capacity_pressure
EST,366,legal_obligation,
TUR,381,,security_issue
NOR,326,legal_obligation,
SRB,213,,legal_obligation
SWE,489,humanitarian_responsibility,
BIH,82,security_issue,
AUT,580,mixed,
HRV,593,,demographic_need
BEL,689,,security_issue
HUN,676,security_issue,
FIN,292,,humanitarian_responsibility
POL,249,,humanitarian_responsibility
NLD,1048,,legal_obligation
