target,source,n_mentions,framing_summary
TUR,NOR,282,"NORway emphasizes the EU-Turkey agreement as crucial for managing migration, highlighting Turkey’s role in housing refugees while also expressing caution about recognizing Turkey as a safe third country. The focus is on administrative agreements and procedural aspects rather than humanitarian obligations or security risks. 

**Dominant frame:** Administrative and procedural focus with some acknowledgment of Turkey’s role."
TUR,AUT,371,"AUT frames Turkey as a critical partner for migration management and security, emphasizing institutional cooperation and support agreements while also highlighting the burden of hosting millions of refugees. Administrative and procedural discussions dominate, with a balance between solidarity and risk framing. Dominant frame: **Administrative and cooperative partnership with Turkey for migration management.**"
TUR,SWE,1022,"Sweden frames Turkey as a partner in managing migration, emphasizing financial contributions and agreements, while expressing concern over perceived blackmail and the need for humanitarian obligations. Administrative and policy remedies focus on financial support and agreements rather than direct action or restrictions.

Dominant frame: Administrative and policy-remedy framing with a balance of risk and solidarity concerns."
TUR,PRT,173,"Portugal frames Turkey as crucial for migration solutions but criticizes the EU-Turkey deal as deresponsibilizing and unethical, highlighting Turkey’s human rights abuses. The dominant frame balances strategic importance with moral and humanitarian concerns."
TUR,NLD,2903,"The NLD frames Turkey as a key partner in addressing migration, emphasizing cooperation through agreements and humanitarian concerns, while also acknowledging the burden and risks. The focus is on administrative and policy measures rather than restrictive policies.

Dominant frame: Administrative and cooperative approach with Turkey."
TUR,GRC,1814,"GRC frames Turkey primarily through a risk and administrative lens, emphasizing the EU-Turkey agreement as a fragile and contentious arrangement, and highlighting Turkey’s strategic position and potential for blackmail. The dominant frame is **risk and administrative framing**, with a focus on the EU-Turkey deal and Turkey’s strategic leverage."
TUR,SRB,31,"SRB frames Turkey primarily through an administrative and policy-remedy lens, emphasizing agreements, visa regimes, and bilateral cooperation. There is a notable absence of risk or solidarity framing.

Dominant frame: Administrative and policy-remedy focus."
TUR,ESP,172,"ESP frames Turkey in migration debates with a balance tilted towards risk framing, highlighting concerns about human rights and the legitimacy of the EU-Turkey deal, while also emphasizing administrative and policy-remedy aspects like accountability and collaboration. Dominant frame: Risk and Administrative Concerns."
TUR,SVN,231,"The Slovakian parliament frames Turkey as a significant security threat, emphasizing potential invasions and intelligence manipulation, while also noting the country’s influence on European migration policies. There is a focus on administrative challenges and the need to manage flows effectively.

**Dominant frame:** Risk framing with security and threat emphasized."
TUR,FIN,187,"Finland emphasizes humanitarian assistance to Syrian refugees in Turkey while critiquing Turkey’s internal policies and human rights violations, balancing solidarity with concerns over security and burden. Dominant frame: **Administrative and Solidarity Framing with Criticism of Internal Policies.**"
TUR,BEL,1387,"Belgian parliament emphasizes procedural and administrative aspects, highlighting agreements like the 2016 EU-Turkey Declaration and Turkey’s economic dependence on the EU. Solidarity and humanitarian concerns are secondary. Administrative framing dominates with a focus on managing migratory flows.

**Dominant frame:** Administrative and procedural focus with EU-Turkey agreements."
TUR,EST,173,"ESTONIA frames Turkey in migration debates primarily through an administrative and policy-remedy lens, emphasizing agreements and procedures like visa regimes and migration policies, while occasionally mentioning security concerns. The focus is on concrete actions and results rather than humanitarian obligations.

**Dominant frame:** Administrative and policy-remedy framing."
TUR,HRV,238,"HRV frames Turkey as a critical partner for EU migration management, emphasizing cooperation and legal agreements but also highlighting security risks and potential refugee surges. The dominant frame is **administrative and cooperative**, with a balance between security concerns and the need for diplomatic engagement."
TUR,POL,90,"POL frames Turkey as a partner in managing migration flows, emphasizing agreements and financial support rather than highlighting risks or humanitarian concerns. The focus is on procedural and financial aspects of EU-Turkey cooperation.

Dominant frame: Administrative and policy-remedy framing with a strong emphasis on cooperation and financial compensation."
TUR,ITA,164,"The Italian parliament frames Turkey as a strategic and security risk, particularly regarding immigration and energy routes, while occasionally mentioning humanitarian concerns and the need for closer cooperation. Dominant frame: Risk and Strategic Concerns."
TUR,HUN,234,"Hungarian parliament frames Turkey as a security threat and burden, emphasizing the need for border protection and cooperation. They highlight Turkey’s role as a regional ally and partner but also warn of potential future crises if migrants continue to move. Risk framing dominates with elements of solidarity and administrative cooperation.

**Dominant frame:** Risk framing with security and burden concerns, balanced by some solidarity and administrative cooperation."
TUR,LVA,11,"LVA frames Turkey primarily through an administrative and policy-remedy lens, emphasizing support and cooperation for managing refugees, while occasionally mentioning the risk of increased migration pressure. The solidarity framing is evident in discussions about humanitarian support and obligations.

Dominant frame: Administrative and policy-remedy focus with elements of solidarity."
TUR,BIH,14,"BIH frames Turkey as a source of potential migrant influx, emphasizing security risks and burden on local communities, while also highlighting humanitarian obligations. It focuses on administrative procedures and agreements for managing transit. The dominant frame is **risk framing with an emphasis on security and burden**."
TUR,CZE,690,"Czech parliament frames Turkey as a source of refugee influx and a state to be managed through EU directives and agreements, while also highlighting Turkey’s humanitarian situation and its role in hosting refugees. The dominant frame balances risk and administrative concerns with some solidarity.

**Dominant Frame Summary:** Czech parliament frames Turkey primarily through an administrative lens with elements of risk and solidarity."
TUR,FRA,105,"France frames Turkey primarily through a risk and administrative lens, emphasizing legal obligations, diplomatic pressure, and strategic agreements to manage migration. The dominant frame highlights France’s concern over Turkey’s compliance with international law and its use of migrants as leverage.

**Dominant Frame Summary:** France views Turkey through a risk and administrative lens, focusing on legal obligations and strategic agreements to manage migration."
TUR,BGR,512,"Bulgarian parliament frames Turkey in migration debates through administrative and policy-remedy framings, emphasizing agreements and border cooperation while downplaying the risk and solidarity frames. It focuses on procedural aspects and bilateral agreements rather than humanitarian concerns or security threats.

Dominant frame: Administrative and Policy-Remedies."
TUR,ISL,65,"ISL parliament frames Turkey primarily through a risk and security lens, emphasizing military actions and border control to prevent refugee influxes. There is little mention of humanitarian concerns or solidarity. Administrative measures like border controls and agreements are highlighted. The dominant frame is risk and security-focused, with an emphasis on preventing refugee flows."
UKR,FIN,37,"Finland frames Ukraine primarily through a risk-framing lens, emphasizing conflicts, crises, and terrorism. There is some mention of humanitarian concerns but a stronger focus on security and potential burdens. Administrative aspects like employment applications are noted, but the overall tone is cautionary. 

**Dominant frame:** Risk-framing with emphasis on security and crisis."
UKR,ISL,270,"ISL parliament emphasizes humanitarian obligations and solidarity, highlighting societal unity and the need for targeted policies to support Ukrainian refugees. There is also a balance with administrative concerns about system capacity and legal controls. The dominant frame is **solidarity and humanitarian obligation**."
UKR,POL,1244,"POL frames the situation with a strong solidarity and humanitarian emphasis, highlighting volunteer efforts and support for Ukrainian refugees. There is also a focus on administrative measures such as tax exemptions. The risk framing is minimal, with most emphasis on the ongoing conflict and its impacts. The dominant frame is **solidarity and humanitarian response**."
UKR,ITA,96,"Italy frames the Ukrainian refugee crisis with a balance of humanitarian concern and administrative challenges, emphasizing the need for immediate action and support while highlighting potential risks and impacts on other regions. 

**Dominant frame:** Solidarity and risk management in response to the Ukrainian crisis."
UKR,TUR,33,"Turkish parliament frames Ukraine primarily through a solidarity lens, emphasizing humanitarian aid and the return of citizens, while also mentioning the scale of refugees and civilian casualties. There is minimal risk framing and no significant administrative or policy-remedy discussion. Dominant frame: Solidarity and Humanitarian Aid."
UKR,HRV,400,"HRV frames the Ukrainian migration debate with a balance of risk (e.g., economic impacts) and solidarity (e.g., humanitarian needs, empathy), while emphasizing administrative actions like legal changes and temporary protection. The dominant frame is **solidarity and humanitarian response**."
UKR,SRB,8,"SRB frames Ukraine primarily through a risk lens, highlighting instability and potential influxes of labor, while also mentioning humanitarian aspects of receiving refugees. There’s a hint of administrative challenges and policy remedies involving border management and regional cooperation. The dominant frame is **risk and instability**."
UKR,BEL,447,"Belgian parliament frames the Ukrainian crisis with a balance tilted towards humanitarian and administrative concerns, emphasizing the need for support and protection of Ukrainian refugees, particularly unaccompanied minors, while also addressing procedural aspects like labor rights and reception capacities. 

**Dominant frame:** Humanitarian and administrative focus with an emphasis on support and protection."
UKR,LVA,127,"LVA frames Ukraine primarily through a solidarity lens, emphasizing humanitarian aid and support for refugees, while also mentioning administrative procedures and potential future EU membership. Risk and burden are minimally addressed. Dominant frame: Solidarity and humanitarian support."
UKR,PRT,116,"PRT frames Ukraine primarily through solidarity and humanitarian lenses, emphasizing support and resources for recovery. There are occasional mentions of security concerns related to border control but these are outweighed by calls for assistance and reconstruction. Dominant frame: Solidarity and humanitarian support for Ukraine."
UKR,GRC,11,"GRC frames Ukraine in migration debates through a mix of risk (Ukraine as part of a broader crisis) and solidarity (European cohesion), with a strong administrative focus on capacity and procedure. The dominant frame emphasizes security and burden, warning against new crises like Ukraine.

**Dominant Frame Summary:** GRC primarily frames Ukraine through a lens of security and burden, emphasizing the risks and administrative challenges posed by migration crises."
UKR,NLD,325,"The NLD frames Ukraine migration through humanitarian concerns, noting the large number of refugees and the need for support, while also discussing the strain on local resources and administrative challenges. There’s less emphasis on security threats or restrictive policies. Dominant frame: Solidarity and administrative burden."
UKR,FRA,14,"FRA frames Ukraine primarily through humanitarian and solidarity lenses, emphasizing support for refugees and diplomatic efforts to resolve the conflict. Administrative measures include discussions for bilateral cooperation and ensuring financial aid is properly managed. Risk framing is present but secondary, focusing on the potential for a large-scale human tragedy. Dominant frame: Solidarity and Humanitarian Support."
UKR,NOR,295,"Norway emphasizes humanitarian concerns and solidarity with Ukraine, highlighting the plight of children and the chaos caused by the war, while also discussing administrative challenges and the need for efficient procedures. The dominant frame is **solidarity and humanitarian concern**."
UKR,AUT,177,"AUT emphasizes humanitarian concerns and solidarity with Ukrainian refugees, highlighting the vulnerability of those fleeing conflict and the need for assistance. There is less focus on administrative procedures or policy remedies beyond expressing support and concern. Dominant frame: Solidarity and humanitarian concern."
UKR,ESP,62,"The Spanish parliament emphasizes humanitarian concerns and solidarity with Ukraine, highlighting the security threats posed by Russia’s aggression and comparing the treatment of Ukrainian refugees to other displaced populations. The focus is on international support and avoiding further conflict. Dominant frame: Solidarity and security."
UKR,CZE,997,"The Czech parliament emphasizes humanitarian assistance and proportionate support for Ukrainian refugees while balancing administrative measures and data sharing. Solidarity is framed through specific actions like extending emergency status and improving data pairing, but there is also a focus on proportionality and avoiding long-term burdens. 

**Dominant frame:** Balances humanitarian aid with administrative and proportional measures for Ukrainian refugees."
UKR,EST,599,"ESTONIA frames Ukraine migration primarily through an administrative lens, emphasizing the number of workers and refugees, and balances some solidarity by helping Ukrainian refugees, though with a focus on temporary protection and subsidies. Risk is mitigated by highlighting the positive impact of Ukrainian workers on Estonia’s economy. The dominant frame is **administrative and humanitarian, balancing economic benefits with refugee support**."
UKR,BIH,17,"BIH frames the Ukrainian migration crisis through a balance of humanitarian concern, proposing concrete measures like extending visa-free stays and introducing new entry procedures, while also emphasizing the need for administrative action and capacity building. The dominant frame is **solidarity and administrative action**."
UKR,SWE,309,"Sweden emphasizes humanitarian support, solidarity, and assistance to Ukraine, highlighting the need for continued aid and protection of Ukrainian refugees while maintaining security concerns. Dominant frame: Solidarity and humanitarian support with a security emphasis."
