parliament,n_migration_country_mentions,n_speeches,n_speakers,n_targets,mean_concreteness,mean_sentiment,one_row_profile,referencing_style,target_concreteness_profile,migration_direction_profile,event_evidence_profile,cohort_profile,temporal_profile,policy_instrument_profile,narrative_sentiment_profile,prompt_selection_relevance,dashboard_takeaway,confidence
AUT,8995,1676,254,124,3.258,1.7178,"Austrian parliament discussed migration primarily through the lens of external transnational migration, focusing on countries like Germany, Turkey, and Syria, with a strong emphasis on European Union entities. The discourse was largely neutral and administrative, with a slight negative sentiment, and peaked in 2016.","The parliament predominantly referenced other countries and entities in a neutral and reporting style, with some learning and emulation from other EU countries and a focus on humanitarian obligations and border crises.","The mentions were mixed, leaning towards concreteness, with specific examples of countries and entities being discussed in detail, especially during peak years like 2016.","The majority of discussions focused on external transnational migration, with a small share discussing inbound internal migration.","There is evidence of event-like, named, and concrete migration events, particularly in 2016 when EU countries brought refugee children from Greece to Europe.","The discussions primarily revolved around general migration and refugees, with a significant share of mentions related to asylum seekers and economic migrants.","Migration discussions peaked in 2016, likely due to the EU-Turkey deal and the influx of refugees, and again in 2022, possibly due to ongoing geopolitical tensions.","The dominant policy instruments discussed were general policies, border control measures, and national security concerns, with less emphasis on international law and integration.","The narrative sentiment was predominantly negative, reflecting concerns about risks and administrative challenges, with some positive sentiments towards humanitarian obligations and benefits.","This parliament would be relevant for LLM close reading as it discusses a wide range of migration-related issues, including external transnational migration, humanitarian obligations, and border crises, with concrete examples and a mix of negative and positive sentiments.","Austrian parliament's migration discourse is characterized by a focus on external transnational migration, with a strong emphasis on European Union entities and a mix of negative and positive sentiments, particularly during peak years like 2016.",0.85
BEL,16218,3761,240,157,3.2658,1.8155,"Belgian parliament discussed migration primarily through the lens of external transnational migration, focusing on countries like Turkey, Greece, and Syria, with a notable peak in 2016 and 2021.","The parliament predominantly referenced other countries and entities in a neutral reporting style, with some learning from and emulation of other countries, and a significant amount of exchange and cooperation.","The mentions were mostly concrete, with specific examples such as recognizing Iraqi asylum seekers' eligibility for relocation and discussing specific actions with Turkey.","The parliament focused mainly on external transnational migration, with a few mentions of inbound internal migration and very few outbound domestic migration.","There was no strong evidence of event-like, named, or concrete migration events, though there were mentions of specific situations like the recognition rate of Iraqi asylum seekers and the movement of citizens from Belarus.","The majority of the discussion centered on general migration and refugees, with a smaller portion related to asylum seekers and economic migrants.","Migration discussions peaked in 2016 and 2021, indicating potential agenda shifts or external shocks during those years.","General policy measures dominated the discourse, followed by border control and returns/deportation, reflecting a mix of proactive and reactive approaches.","The sentiment was generally negative, with a slight positive tilt towards sympathy, indicating concerns and risks associated with migration.","This parliament would be relevant for LLM close reading due to its focus on external transnational migration, the prominence of specific countries like Turkey and Greece, and the detailed discussion of concrete migration issues.","Belgium's parliament prioritizes external transnational migration, with a focus on Turkey and Greece, and shows a significant increase in discussions around migration in 2016 and 2021.",0.85
BGR,3888,1009,244,74,3.2539,2.0697,"Bulgarian parliament discussed migration primarily through the lens of external transnational flows, focusing on Turkey, Ukraine, and the European Union, with a significant emphasis on general migration and border control policies.","The parliament predominantly referenced entities and countries in a mixed concreteness band, with a notable shift towards more concrete mentions in 2016 and 2015.","Targets were generally referenced concretely, with specific country names used frequently, especially for Turkey and the European Union.","The parliament focused mainly on external transnational migration, with occasional mentions of ambiguous and inbound internal migration.","There was no strong evidence of event-like, named, concrete migration events, though there were mentions of terrorist threats and internal rule decisions related to residence status.","Migration cohorts were dominated by general migration and refugees, with economic migrants and students being less frequent.","Migration discussions peaked in 2016 and 2015, with significant mentions also in 2018, indicating potential agenda shifts or shocks during those years.","Policy measures were dominated by general policies and border control, with less emphasis on integration and international law.","The sentiment was predominantly negative, with a significant share of neutral sentiments, reflecting concerns over security and risk.","This parliament should be selected for further LLM close reading due to its focus on external migration, particularly from Turkey, and the emphasis on border control and national security.","Bulgaria’s parliament has a strong focus on external migration, especially from Turkey, and emphasizes border control and national security in its discourse.",0.85
BIH,990,222,70,56,3.3053,1.9361,"BiH parliament discussed migration primarily through concrete examples, focusing on external transnational migration and general migration cohorts, with a notable peak in 2021.","The parliament predominantly referenced other countries and entities in a neutral reporting style, with some learning and emulation from other countries.","Migration discussions were concretely focused, often mentioning specific countries and entities such as the United Kingdom, Serbia, and the European Union.","The majority of migration discussions were about external transnational migration, with a smaller focus on inbound domestic migration.","There was no strong evidence of event-like, named, or concrete migration events mentioned, though there were mentions of crises and threats related to migration.","General migration and refugee cohorts dominated the country references, with less emphasis on asylum seekers, economic migrants, or high-skilled workers.","Migration discussions peaked in 2021, followed by significant activity in 2018 and 2020, suggesting potential agenda shifts or shocks during these years.","Border control measures and general policies were the most frequently discussed policy instruments, with less emphasis on international law, asylum procedures, or integration.","The sentiment was generally negative, with a significant share of the discourse framed around risks and security threats, though there were also positive sentiments related to humanitarian obligations.","This parliament's migration discussions are relevant for further LLM close reading due to the concrete nature of the references, the focus on external transnational migration, and the recurring themes of border control and security threats.","BiH parliament's migration discourse is characterized by concrete references to specific countries and entities, a focus on external transnational migration, and a predominant negative sentiment centered around security and risk.",0.85
CZE,10022,1570,225,110,3.2578,1.7685,"The Czech Parliament discussed migration primarily in the context of external transnational flows, with a focus on countries like Ukraine, Turkey, and Germany. The discourse was largely neutral and administrative, with a slight negative sentiment towards migration.","The parliament predominantly referenced other countries and entities in a neutral and reporting style, with some learning and emulation from other EU members and occasional coercion and intervention.","The mentions were mixed, leaning towards concrete references, often involving specific policies and concrete examples such as agreements with Turkey and financial allocations.","The focus was mainly on external transnational migration, with a few mentions of inbound internal migration and negligible outbound domestic migration.","There are clear event-like mentions, particularly around the peaks in 2016 and 2015, indicating significant shifts in the migration agenda, possibly due to political or humanitarian crises.","The majority of the discussions revolved around general migration and refugees, with a smaller focus on economic migrants and asylum seekers.","Migration discussions peaked in 2016 and 2015, likely due to significant events such as the EU-Turkey deal and the broader refugee crisis, with another notable peak in 2022.","The dominant policy instruments mentioned were general policies, border control, and national security measures, with less emphasis on integration and humanitarian obligations.","The narrative sentiment was predominantly negative, reflecting concerns over risks and administrative challenges, with occasional positive sentiments related to humanitarian obligations.","This parliament’s migration discourse is highly relevant for LLM close reading as it reflects a mix of administrative and security-focused policies, with significant peaks in certain years suggesting potential areas for detailed analysis.","The Czech Parliament’s migration discourse is characterized by a focus on external transnational migration, with a strong emphasis on concrete policy measures and a predominantly negative sentiment towards migration issues.",0.85
ESP,4015,818,241,120,3.2371,1.702,"The Spanish parliament discussed migration predominantly through the lens of external transnational movements, focusing on countries like Morocco, Greece, and Turkey, with a strong emphasis on humanitarian obligations and security threats.","The parliament primarily referenced other countries and entities in a neutral reporting style, with some learning and emulation from other states and coercion towards others.","The mentions of migration-relevant countries and entities were mixed, leaning towards abstract concepts rather than specific, concrete examples.","The parliament focused mainly on external transnational migration, with a smaller share discussing inbound domestic migration and an ambiguous category for other types.","There was no clear event-like, named, concrete migration evidence provided, though there were mentions of specific rescue operations and border crises.","The majority of the discussion centered on general migration and refugees, with a smaller focus on asylum seekers and economic migrants.","Migration discussions peaked in 2022, 2015, and 2018, indicating potential agenda shifts or significant events during these years.","General policy measures and border control were the most frequently discussed policy instruments, followed by national security and international law.","The sentiment was predominantly negative, with a secondary positive sentiment related to sympathy, and a smaller share of neutral and risk-oriented narratives.","This parliament should be selected for further LLM close reading due to its focus on external transnational migration, the prominence of humanitarian and security frames, and the high frequency of mentions of specific countries and entities.","The Spanish parliament's discourse on migration is characterized by a focus on external transnational movements, with a mix of humanitarian and security concerns, and a reliance on general policy measures and border control.",0.85
EST,6679,1806,168,108,3.2698,1.6762,"Estonia's parliament discussed migration primarily through the lens of external transnational flows, focusing on countries like Ukraine and Russia, with a strong emphasis on general policy measures and border control.","The parliament predominantly referenced other countries and entities in a neutral reporting style, with some learning from and emulation of policies from other nations.","The mentions were mostly mixed, leaning towards concreteness, with specific examples of countries and entities being discussed in detail.","The parliament focused mainly on migration between third countries, with a significant portion of discussions centered on refugees and general migration.","There was no clear event-like, named, concrete migration evidence provided, but there were mentions of specific events such as the influx of Ukrainians in 2022.","The majority of the discussion revolved around general migration and refugees, with a smaller focus on economic migrants and students.","Migration discussions peaked in 2015, 2016, and 2022, indicating potential agenda shifts or shocks during these years.","General policy measures and border control dominated the discourse, with less emphasis on integration and resource allocation.","The sentiment was generally negative, with a significant share of neutral and positive sentiments, reflecting concerns over risks and humanitarian obligations.","This parliament would be relevant for LLM close reading due to its detailed discussions on migration, particularly regarding refugees and border control, and the specific examples provided.","Estonia's parliament prioritizes external migration issues, especially from Ukraine and Russia, and focuses on general policy and border control measures.",0.85
FIN,5407,1896,219,99,3.2268,1.7933,"Finland's parliament discussed migration primarily through the lens of external transnational migration, focusing on countries like Sweden, Iraq, and Afghanistan. The discourse was largely abstract and neutral, with a slight negative sentiment. Peaks in discussion occurred in 2016 and 2021, likely due to specific events.","The parliament predominantly referenced other countries and entities in a neutral and learning/emulation context, with a notable emphasis on the European Union and Sweden.","The mentions were mixed, with a leaning towards abstract references, indicating a general discussion rather than specific policy measures.","The parliament focused mainly on external transnational migration, with some ambiguity and a small portion discussing inbound internal migration.","There is no strong evidence of event-like, named, concrete migration events, suggesting a more general discussion rather than specific incidents.","The majority of the discussion centered on general migration and refugees, with a significant share related to asylum seekers.","Migration discussions peaked in 2016 and 2021, possibly linked to specific events or policy shifts.","The dominant policy instruments mentioned were general policies and national security measures, with less emphasis on integration or border control.","The sentiment was predominantly negative, reflecting concerns about risks and administrative challenges, with some positive sentiments around humanitarian obligations.","This parliament should be selected for further LLM close reading due to its focus on external migration, particularly from conflict zones, and the abstract nature of the discussions, which could provide insights into broader European migration dynamics.","Finland's parliament has a nuanced approach to migration, focusing on external transnational migration and using a mix of abstract and neutral language. The discourse is driven by concerns over risk and administrative challenges, with occasional positive sentiments around humanitarian obligations.",0.85
FRA,4852,1733,316,124,3.2462,1.5961,"France's parliament discussed migration-related topics 4,852 times across 1,733 speeches from 316 speakers between 2017 and 2022, with a peak in 2018.","France predominantly refers to other countries and entities in a neutral reporting style, with some learning/emulation and coercion/intervention.","The mentions are mixed, leaning towards concreteness, with a mean concreteness score of 3.2462.","France focuses primarily on external transnational migration (81.6% of mentions), with a secondary focus on inbound internal migration (12.8%).","There is no strong event-like, named, concrete migration evidence, but there are mentions of specific policies and conditions, such as asylum applications and Schengen reviews.","General migration is the most discussed cohort (78.54%), followed by refugees (11.64%) and asylum seekers (6.86%).","The highest intensity of migration-related discussions occurred in 2018, with a significant drop in 2020 and a resurgence in 2019 and 2021.","General policy measures are the most discussed (42.79%), followed by border control (17.5%) and national security (11.75%).","The sentiment is predominantly negative (55.4%), with a secondary positive (14.69%) and neutral (29.91%) sentiment.","This parliament should be selected for further LLM close reading due to its high frequency of migration-related discussions, the variety of policy instruments discussed, and the significant shifts in sentiment over time.","France's parliament frequently discusses migration, particularly focusing on external transnational migration and general policy measures, with a notable increase in discussions around 2018 and 2019.",0.85
GBR,18305,7388,1120,19,3.2145,2.1745,"The UK Parliament frequently mentions migration-relevant countries and entities, particularly focusing on the European Union and Libya, with peaks in 2016 and 2017.","The parliament predominantly uses neutral reporting style, with some coercion and intervention, learning from others, and exchange/cooperation.","The mentions are mixed, leaning towards abstract, with concrete examples including discussions on the European Union and Libya.","The focus is primarily on external transnational migration, with a smaller share on inbound internal migration.","There is no strong event-like, named, concrete migration evidence, but there are mentions of significant years like 2016 and 2017.","General migration and refugees are the dominant migrant groups mentioned, with economic migrants and students being less frequent.","Migration discussions peak in 2016 and 2017, with notable mentions in 2015, 2020, and 2022.","General policies and border control measures are the most discussed, followed by national security and integration policies.","The sentiment is generally negative, with a mix of neutral and positive sentiments, reflecting administrative and humanitarian concerns.","This parliament should be selected for LLM close reading due to its frequent mentions of migration-relevant countries and entities, especially during specific years, and the variety of policy instruments discussed.","The UK Parliament's migration discourse is dominated by the European Union and Libya, with a focus on general policies and border control, and a shift in intensity around 2016 and 2017.",0.85
