country,year,target_iso3,entity_content,policy_agency_type,migrant_cohort,policy_measure,sentiment_polarity,scheme,scheme_warrant,evidence_span,confidence
BIH,2016,SRB,Serbia,competition,general_migration,general_policy,negative,argument_from_analogy,Serbia and Croatia are further along in EU integration than Bosnia and Herzegovina,not to mention Serbia and Croatia,0.8
BIH,2018,SYR,Syria,competition,general_migration,national_security,neutral,none_or_unclear,,,0.7
BIH,2018,SYR,Syria,competition,general_migration,national_security,neutral,none_or_unclear,,,0.7
BIH,2018,SRB,Republic of Serbia,competition,general_migration,national_security,negative,none_or_unclear,,"since the current agreement between Bosnia and Herzegovina and the Republic of Serbia on cross-border traffic from 2007, which regulates this issue, does not apply",0.5
BIH,2020,CAN,Canada,competition,refugees,national_security,negative,argument_ad_hominem,those who are in Canada are not available to BiH judicial authorities,as they are somewhere in Serbia - Canada refugee,0.8
BIH,2020,GBR,United Kingdom,competition,refugees,national_security,neutral,argument_from_authority,the judge is an expert in international criminal law,"Džoane Korner, formerly more prosecutors of the International Criminal Tribunal for the former Yugoslavia",0.8
SVN,2016,CUB,Cuba,learning_emulation_from,general_migration,returns_deportation,neutral,argument_from_analogy,how the United States behaves or how the United States solves this problem,how the United States behaves or how the United States solves this problem,0.8
SVN,2017,HRV,Croatia,learning_emulation_from,general_migration,general_policy,neutral,argument_from_analogy,neighbouring countries can provide examples or models,much depends on how we work with neighbouring Croatia,0.8
SVN,2018,XKX,Kosovo,learning_emulation_from,economic_migrants,general_policy,negative,argument_from_analogy,comparing Slovenians to other economic migrants,Slovenians of economic migrants or even officially sent all the republics of the former Yugoslavia to Kosovo,0.7
SVN,2019,HRV,Croatia,learning_emulation_from,general_migration,border_control,negative,argument_from_cause_to_effect,all who come from Croatia will have to return to us strictly,all who come from Croatia will have to return to us strictly,0.8
SVN,2019,MYS,Malaysia,learning_emulation_from,general_migration,general_policy,neutral,argument_from_analogy,comparing the situation in Qatar to other countries,"for example , one of the Arab countries , I can say Qatar , which has half a million inhabitants , the Qataris , and a million 700 people working for them",0.8
SVN,2022,IRQ,Iraq,learning_emulation_from,refugees,national_security,neutral,argument_from_analogy,historical precedents show similar situations,"Lebanon 1958 , Cambodia 1967 , Vietnam 1965 , Grenada 1983 , Libya 1986 , Panama 1989 , Iraq for the first time in 1990",0.8
HUN,2015,CZE,Czech Republic,neutral_reporting,refugees,allocation_of_resources,negative,argument_ad_hominem,the speakers' positions are based on their roles as Eastern European countries,"what will Poland say, what will the Czech Republic, Slovakia and Hungary, Mr Kósa say?",0.7
HUN,2018,POL,Poland,neutral_reporting,general_migration,general_policy,negative,argument_ad_hominem,Minister of State Magyar Levente's prediction is based on Poland's stance,he also predicts that they will not stand up for Hungary,0.8
HUN,2018,AZE,Azerbaijan,neutral_reporting,general_migration,general_policy,negative,argument_from_practical_reasoning,to be released immediately in his country,so that it was clear that he would be released immediately in his country,0.9
HUN,2019,TUR,Turkey,neutral_reporting,general_migration,national_security,negative,argument_from_sign,four million immigrants in Turkey indicates a broader issue,there are four million immigrants in Turkey,0.7
HUN,2019,IRQ,Iraq,neutral_reporting,general_migration,national_security,negative,argument_ad_hominem,those who support a war against the Kurds are not trustworthy,they 're supporting a war against the Kurds,0.8
HUN,2022,UKR,Ukraine,neutral_reporting,general_migration,border_control,negative,argument_from_analogy,"sending weapons to Ukraine is a sensible thing, defending the Hungarian external border is pointless",defending the Hungarian external border is pointless,0.7
PRT,2017,SYR,Syria,neutral_reporting,general_migration,returns_deportation,negative,argument_ad_hominem,those who support Daesh should lose their nationality,Do n't you think he should lose Portuguese nationality?,0.8
