country,year,entity_content,concreteness_score,event_name,primary_actors,location_or_route,affected_cohort,evidentiary_use,confidence
NLD,2015,North Macedonia,3.5,unspecified,,,,,
NLD,2016,Curaçao,3.57,unspecified,,,,unspecified,
NLD,2018,Greece,3.714,unspecified,,,,demand burden-sharing,
NLD,2018,Curaçao,3.547,unspecified,,,,neutral_reporting,
NLD,2019,Cyprus,3.504,unspecified,,,,unspecified,
NLD,2019,Canada,3.56,unspecified,,,,unspecified,
NLD,2021,Curaçao,3.51,unspecified,,,,express solidarity,
NLD,2021,Curaçao,3.547,unspecified,,,,unspecified,
POL,2017,Republic of Moldova,3.513,refugee_fleeing,,,,justify_restriction,
POL,2019,United Kingdom,3.527,regulation of UK citizens' status,,,,justify restriction,
POL,2021,Iraq,3.6,unspecified,,,,unspecified,
POL,2021,Lithuania,3.517,unspecified,,,,unspecified,
POL,2021,Russia,3.517,unspecified,,,,unspecified,
POL,2021,Belarus,3.56,unspecified,,,,unspecified,
POL,2022,Ukraine,3.527,unspecified,,,,unspecified,
POL,2022,Ukraine,3.5,unspecified,,,,unspecified,
BGR,2015,Republic of Serbia,3.586,unspecified,,,,neutral_reporting,
BGR,2015,Republic of Albania,3.68,unspecified,,,,unspecified,
BGR,2015,Syrian Arab Republic,3.579,unspecified,,,,unspecified,
BGR,2015,Syrian Arab Republic,3.54,unspecified,,,,justify restriction,
BGR,2016,Turkey,3.677,unspecified,,,,unspecified,
BGR,2016,Turkey,3.565,unspecified,,,,unspecified,
BGR,2018,Republic of Serbia,3.516,unspecified,,,,unspecified,
AUT,2015,Switzerland,3.51,unspecified,,,,neutral_reporting,
AUT,2015,Germany,3.588,unspecified,,,,express solidarity,
AUT,2016,Syria,3.538,unspecified,,,,unspecified,
AUT,2016,Syria,3.8,unspecified,,,,unspecified,
AUT,2016,Syria,3.527,unspecified,,,,unspecified,
AUT,2016,South Sudan,3.5,unspecified,,,,unspecified,
AUT,2016,South Sudan,3.584,unspecified,,,,unspecified,
AUT,2018,Tunisia,3.527,unspecified,,,,unspecified,
EST,2017,Ukraine,3.54,visa liberalisation discussion,,,,unspecified,
EST,2019,Finland,3.538,unspecified,,,,,
EST,2021,Belarus,3.544,unspecified,,,,unspecified,
EST,2021,Finland,3.564,unspecified,,,,neutral_reporting,
EST,2021,Finland,3.537,unspecified,,,,unspecified,
EST,2021,Finland,3.585,unspecified,,,,neutral_reporting,
EST,2021,Finland,3.585,unspecified,,,,neutral_reporting,
EST,2021,Russia,3.526,illegal border crossings,,,,justify restriction,
ESP,2018,Canada,3.65,unspecified,,,,unspecified,
ESP,2022,Morocco,3.508,unspecified,,,,unspecified,
ESP,2022,Morocco,3.544,externalisation_of_borders_and_migration_control,,,,push_institutional_reform,
ITA,2013,Democratic Republic of Congo,3.518,adoption,,,,unspecified,
ITA,2019,Turkey,3.521,unspecified,,,,justify restriction,
ITA,2020,Spain,3.518,unspecified,,,,unspecified,
ITA,2020,Finland,3.569,unspecified,,,,unspecified,
ITA,2020,Spain,3.514,unspecified,,,,unspecified,
ITA,2020,Malta,3.581,unspecified,,,,unspecified,
ITA,2020,Malta,3.565,unspecified,,,,unspecified,
ITA,2020,Malta,3.506,unspecified,,,,unspecified,
HUN,2015,Austria,3.544,unspecified,,,,unspecified,
HUN,2015,United Kingdom,3.504,unspecified,,,,unspecified,
HUN,2015,United Kingdom,3.5,unspecified,,,,unspecified,
HUN,2018,Serbia,3.56,unspecified,,,,unspecified,
HUN,2021,Republic of North Macedonia,3.508,unspecified,,,,unspecified,
GRC,2015,Syria,3.5,unspecified,,,,unspecified,
GRC,2016,Germany,3.563,migration,,,,unspecified,
GRC,2020,Turkey,3.5,unspecified,,,,unspecified,
GRC,2020,Turkey,3.577,unspecified,,,,unspecified,
GRC,2021,Republic of Estonia,3.657,unspecified,,,,unspecified,
GRC,2021,Republic of Austria,3.657,unspecified,,,,unspecified,
GRC,2021,Republic of Slovenia,3.657,unspecified,,,,unspecified,
GRC,2021,Republic of Austria,3.682,unspecified,,,,unspecified,
FIN,2016,Turkey,3.505,assisting Syrian refugees,,,,justify restriction,
FIN,2016,Australia,3.575,unspecified,,,,justify restriction,
FIN,2016,Iraq,3.526,forced separation,,,,justify restriction,
FIN,2017,Sweden,3.543,unspecified,,,,express solidarity,
FIN,2017,Peru,3.56,unspecified,,,,,
FIN,2018,Sweden,3.51,unspecified,,,,unspecified,
FIN,2021,Poland,3.571,unspecified,,,,unspecified,
FIN,2021,Russia,3.543,unspecified,,,,unspecified,
CZE,2015,Iraq,3.6,unspecified,,,,unspecified,
CZE,2016,Jordan,3.736,unspecified,,,,neutral_reporting,
CZE,2016,Turkey,3.559,Turkey tightening visa policy,,,,justify restriction,
CZE,2016,Turkey,3.559,Turkey tightening visa policy,,,,justify restriction,
CZE,2016,Turkey,3.559,Turkey tightening visa policy,,,,justify restriction,
CZE,2016,Turkey,3.515,unspecified,,,,push institutional reform,
CZE,2016,United States,3.517,unspecified,,,,unspecified,
CZE,2018,Ukraine,3.65,unspecified,,,,unspecified,
TUR,2019,Azerbaijan,3.568,unspecified,,,,unspecified,
TUR,2022,Greece,3.51,immigrants pushed to borders,,,,regret,
TUR,2022,United States,4.224,unspecified,,,,,
TUR,2022,United States,4.224,unspecified,,,,,
TUR,2022,United States,4.224,unspecified,,,,,
TUR,2022,United States,4.224,unspecified,,,,,
TUR,2022,United States,4.224,unspecified,,,,,
TUR,2022,United States,4.224,unspecified,,,,,
LVA,2018,United Kingdom,3.538,unspecified,,,,unspecified,
LVA,2018,United States,3.538,unspecified,,,,unspecified,
LVA,2021,Belarus,3.5,unspecified,,,,neutral_reporting,
LVA,2021,Belarus,3.593,unspecified,,,,unspecified,
LVA,2021,Belarus,3.561,unspecified,,,,unspecified,
LVA,2021,Germany,3.527,unspecified,,,,unspecified,
LVA,2021,Lithuania,3.509,unspecified,,,,neutral_reporting,
LVA,2021,Lithuania,3.509,unspecified,,,,neutral_reporting,
ISL,2017,United States,3.602,denial_of_entry,,,,justify_restriction,
ISL,2017,United States,3.602,denial_of_entry,,,,justify_restriction,
ISL,2020,Greece,3.519,unspecified,,,,justify restriction,
ISL,2021,Saudi Arabia,3.6,unspecified,,,,unspecified,
ISL,2021,Syria,3.538,unspecified,,,,neutral_reporting,
ISL,2021,Sweden,3.5,unspecified,,,,unspecified,
ISL,2021,United States,3.5,unspecified,,,,unspecified,
ISL,2021,Sweden,3.5,unspecified,,,,unspecified,
PRT,2018,United States,3.517,Condemnation by the division of families and detention of migrant children,,,,express solidarity,
PRT,2022,Andorra,3.56,consulate closure,,,,unspecified,
NOR,2015,Russia,3.5,unspecified,,,,unspecified,
NOR,2017,Afghanistan,3.544,unspecified,,,,neutral_reporting,
NOR,2018,Russia,3.622,unspecified,,,,neutral_reporting,
NOR,2018,Russia,3.53,unspecified,,,,unspecified,
NOR,2018,Iraq,3.533,unspecified,,,,unspecified,
NOR,2019,Greece,3.541,migration influx,,,,neutral_reporting,
NOR,2020,Greece,3.6,unspecified,,,,neutral_reporting,
NOR,2021,Greece,3.5,unspecified,,,,unspecified,
FRA,2017,Iran,3.56,unspecified,,,,unspecified,
FRA,2017,Libya,3.526,unspecified,,,,unspecified,
FRA,2018,United Kingdom,3.544,unspecified,,,,unspecified,
FRA,2019,Belgium,3.538,unspecified,,,,unspecified,
FRA,2020,Pakistan,3.544,irregular arrival,,,,unspecified,
FRA,2021,Italy,3.533,Italy closes border,,,,justify restriction,
FRA,2022,Turkey,3.8,unspecified,,,,unspecified,
BEL,2016,United Kingdom,3.56,migration,,,,unspecified,
BEL,2016,United Kingdom,3.543,unspecified,,,,unspecified,
BEL,2018,Rwanda,3.506,unspecified,,,,unspecified,
BEL,2018,Tunisia,3.567,unspecified,,,,unspecified,
BEL,2019,Syria,3.536,unspecified,,,,neutral_reporting,
BEL,2020,United Kingdom,3.568,unspecified,,,,unspecified,
BEL,2020,United Kingdom,3.574,unspecified,,,,unspecified,
BEL,2021,Pakistan,3.608,unspecified,,,,unspecified,
SVN,2015,South Africa,3.532,unspecified,,,,,
SVN,2018,Czech Republic,3.6,unspecified,,,,unspecified,
SVN,2019,Republic of Latvia,3.71,unspecified,,,,unspecified,
SVN,2019,Italy,3.513,unspecified,,,,unspecified,
SVN,2019,Nigeria,3.5,unspecified,,,,neutral_reporting,
SVN,2019,Austria,3.619,Austria closes borders,,,,justify restriction,
SVN,2019,Republic of Serbia,3.607,unspecified,,,,neutral_reporting,
SVN,2019,Republic of Croatia,3.606,smuggling of illegal migrants,,,,justify restriction,
SWE,2015,Denmark,3.6,unspecified,,,,unspecified,
SWE,2016,Israel,3.56,unspecified,,,,,
SWE,2017,Denmark,3.51,unspecified,,,,express solidarity,
SWE,2017,Denmark,3.51,unspecified,,,,express solidarity,
SWE,2017,North Korea,3.53,unspecified,,,,unspecified,
SWE,2018,Lebanon,3.5,unspecified,,,,unspecified,
SWE,2020,Afghanistan,3.588,unspecified,,,,unspecified,
SWE,2021,Afghanistan,3.63,unspecified,,,,neutral_reporting,
SRB,2018,Republic of Croatia,4.026,unspecified,,,,unspecified,
SRB,2018,Islamic Republic of Iran,3.542,visa-free regime abolition,,,,unspecified,
SRB,2018,Iran,3.51,visa-free regime lifting,,,,unspecified,
SRB,2019,Kosovo,3.548,unspecified,,,,unspecified,
SRB,2019,Kosovo,3.548,unspecified,,,,unspecified,
SRB,2020,Republic of Albania,3.56,unspecified,,,,neutral_reporting,
SRB,2020,Republic of Albania,3.56,unspecified,,,,neutral_reporting,
SRB,2021,Hungary,3.661,unspecified,,,,unspecified,
HRV,2017,Czech Republic,3.65,unspecified,,,,unspecified,
HRV,2017,Estonia,3.714,unspecified,,,,unspecified,
HRV,2018,Austria,3.65,unspecified,,,,unspecified,
HRV,2019,Hungary,3.51,unspecified,,,,unspecified,
HRV,2019,Ireland,3.5,unspecified,,,,unspecified,
HRV,2020,United Kingdom,3.525,unspecified,,,,unspecified,
HRV,2021,Republic of Serbia,3.506,unspecified,,,,unspecified,
HRV,2021,Republic of Serbia,3.514,unspecified,,,,neutral_reporting,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
BIH,2021,United Kingdom,3.864,unspecified,,,,unspecified,
UKR,2016,Cuba,3.5,unspecified,,,,unspecified,
UKR,2018,Germany,3.65,unspecified,,,,unspecified,
UKR,2021,Bulgaria,3.527,unspecified,,,,unspecified,
UKR,2021,Republic of Belarus,3.563,unspecified,,,,unspecified,
UKR,2021,Republic of Belarus,3.563,unspecified,,,,unspecified,
UKR,2021,Republic of Poland,3.57,unspecified,,,,unspecified,
UKR,2022,Republic of Poland,3.534,unspecified,,,,unspecified,
UKR,2022,Republic of Poland,3.534,unspecified,,,,unspecified,
