source,target,n,rule_based_label,positioning,confidence,rationale,evidence_span
NLD,TUR,1255,exchange_cooperation,object_of_pressure,,,
GRC,TUR,997,exchange_cooperation,cooperation_partner,,,
BEL,TUR,598,exchange_cooperation,cooperation_partner,,,
SWE,TUR,543,exchange_cooperation,object_of_pressure,,,
CZE,TUR,388,exchange_cooperation,cooperation_partner,,,
TUR,SYR,359,coercion_intervention_to,object_of_pressure,,,
POL,UKR,357,coercion_intervention_to,object_of_pressure,,,
NLD,GRC,325,exchange_cooperation,cooperation_partner,,,
CZE,UKR,321,learning_emulation_from,cooperation_partner,,,
BGR,TUR,318,coercion_intervention_to,object_of_pressure,,,
SVN,AUT,313,learning_emulation_from,model_to_emulate,,,
NOR,GRC,296,learning_emulation_from,cooperation_partner,,,
NLD,SYR,292,learning_emulation_from,neutral_reference,,,
ITA,LBY,273,coercion_intervention_to,object_of_pressure,,,
BEL,GRC,262,learning_emulation_from,cooperation_partner,,,
SVN,HRV,257,learning_emulation_from,cooperation_partner,,,
NOR,AFG,252,coercion_intervention_to,object_of_pressure,,,
BEL,SYR,246,learning_emulation_from,object_of_pressure,,,
FIN,IRQ,245,exchange_cooperation,cooperation_partner,,,
BEL,GBR,243,learning_emulation_from,cooperation_partner,,,
FIN,SWE,232,learning_emulation_from,model_to_emulate,,,
NLD,GBR,229,exchange_cooperation,cooperation_partner,,,
EST,UKR,222,learning_emulation_from,object_of_pressure,,,
SWE,AFG,220,coercion_intervention_to,object_of_pressure,,,
ESP,MAR,202,coercion_intervention_to,cooperation_partner,,,
BEL,NLD,193,learning_emulation_from,cooperation_partner,,,
EST,RUS,193,learning_emulation_from,object_of_pressure,,,
NOR,SYR,187,learning_emulation_from,object_of_pressure,,,
NLD,DEU,184,learning_emulation_from,cooperation_partner,,,
NLD,MAR,180,learning_emulation_from,object_of_pressure,,,
BEL,ITA,180,learning_emulation_from,cooperation_partner,,,
GRC,USA,179,learning_emulation_from,object_of_pressure,,,
HRV,UKR,178,learning_emulation_from,learning_emulation_from,,,
SVN,DEU,173,learning_emulation_from,model_to_emulate,,,
BEL,LBY,171,exchange_cooperation,object_of_pressure,,,
SWE,SYR,169,learning_emulation_from,object_of_pressure,,,
NOR,TUR,167,exchange_cooperation,cooperation_partner,,,
CZE,DEU,166,learning_emulation_from,object_of_pressure,,,
POL,GBR,165,learning_emulation_from,cooperation_partner,,,
BEL,SDN,164,learning_emulation_from,neutral_reference,,,
CZE,GRC,162,coercion_intervention_to,object_of_pressure,,,
BEL,MAR,161,exchange_cooperation,cooperation_partner,,,
NOR,RUS,155,coercion_intervention_to,object_of_pressure,,,
HUN,DEU,154,learning_emulation_from,model_to_emulate,,,
CZE,HUN,152,learning_emulation_from,cooperation_partner,,,
NLD,ITA,150,learning_emulation_from,cooperation_partner,,,
AUT,TUR,149,exchange_cooperation,cooperation_partner,,,
HRV,GBR,147,learning_emulation_from,learning_emulation_from,,,
BEL,DEU,147,learning_emulation_from,model_to_emulate,,,
NLD,LBY,144,exchange_cooperation,cooperation_partner,,,
BEL,UKR,142,learning_emulation_from,cooperation_partner,,,
PRT,TUR,141,exchange_cooperation,object_of_pressure,,,
BIH,GBR,140,learning_emulation_from,learning_emulation_from,,,
