source,target,n_forward,n_reverse,ratio,primary_driver,rationale
TUR,SYR,1082,0,1082.0,crisis_visibility,"The frequent mentions of Syria (SYR) by Turkey (TUR) indicate that Syria is a significant crisis site, particularly related to migration. The mentions discuss asylum seekers and the Syrian regime, highlighting the crisis visibility."
NLD,SYR,997,0,997.0,crisis_visibility,"The frequent mentions of Syria (SYR) by NLD, particularly in the context of humanitarian and refugee crises, indicate that Syria is a high-salience migration crisis site, driving the asymmetry."
CZE,UKR,997,0,997.0,crisis_visibility,"The mentions show CZE frequently discussing UKR in the context of refugee arrivals and support, indicating UKR is a high-salience migration crisis site for CZE."
BEL,SYR,717,0,717.0,crisis_visibility,"The mentions focus on the Syrian crisis, indicating that Belgium is discussing the migration issues related to Syria, while Syria does not mention Belgium in the context provided."
CZE,TUR,690,0,690.0,crisis_visibility,"Czech mentions of Turkey are primarily in the context of the refugee crisis, indicating Turkey's visibility as a key player in managing migration issues affecting the EU."
NLD,GBR,630,0,630.0,diaspora_or_historical_ties,"The mentions are related to Brexit and EU citizenship, indicating significant Dutch presence in the UK and historical ties, driving frequent discussions in NLD about GBR."
EST,UKR,599,0,599.0,diaspora_or_historical_ties,"ESTonian mentions of UKR are frequent, discussing topics like migration and EU accession, indicating strong ties possibly due to a significant Ukrainian diaspora in Estonia."
EST,RUS,597,0,597.0,diaspora_or_historical_ties,"EST talks extensively about RUS, mentioning security threats and Russian citizens, indicating significant historical or diaspora ties that influence political discourse."
BEL,GBR,590,0,590.0,crisis_visibility,"The mentions focus on illegal transit migrants and police cooperation, indicating a significant migration crisis involving Belgium and the United Kingdom, which explains the asymmetry."
SWE,SYR,572,0,572.0,crisis_visibility,"The frequent mentions of Syria (SYR) by Sweden (SWE) are primarily due to the ongoing crisis in Syria, which has significant humanitarian and refugee impacts on Sweden."
NLD,DEU,563,0,563.0,crisis_visibility,"The frequent mentions of Germany in the context of migration crises and refugee responsibilities suggest that Germany is a high-salience site for such crises, driving the asymmetry in discourse."
SVN,DEU,561,0,561.0,EU_accession_governance,"The mentions focus on Slovenia's role in managing migration and its relationship with EU countries, particularly Germany, indicating concerns over EU accession and Schengen compliance."
NOR,AFG,529,0,529.0,crisis_visibility,"NOR mentions AFG frequently, discussing the serious situation in Afghanistan and its impact on Norwegians, indicating Afghanistan's visibility as a migration crisis site."
NOR,SYR,500,0,500.0,crisis_visibility,"NORway frequently mentions SYRia in the context of the refugee crisis and air strikes, indicating SYRia's visibility as a crisis site."
ITA,LBY,486,0,486.0,EU_accession_governance,"The mentions focus on Italy's geopolitical and migration policies, indicating a significant role of EU accession governance and Italy's leadership in these matters, which Libya does not prominently address."
AUT,DEU,450,0,450.0,diaspora_or_historical_ties,"The frequent mentions of Austria's role in Germany, such as refugee policies and economic comparisons, suggest strong historical and diaspora ties between the two countries."
SWE,AFG,449,0,449.0,diaspora_or_historical_ties,"SWE mentions AFG frequently due to high levels of Afghan migration, while AFG does not mention SWE as they have no reciprocal discourse."
BEL,UKR,447,0,447.0,diaspora_or_historical_ties,"The frequent mentions of Ukraine in Belgian parliament discussions, especially regarding assistance and monitoring the war's impact, suggest a significant Ukrainian diaspora or historical ties influencing Belgian policy."
CZE,DEU,441,0,441.0,diaspora_or_historical_ties,"The mentions focus on Germany's policies towards migrants and its historical labor migration practices, indicating strong historical and diaspora ties between the two countries."
NLD,LBY,404,0,404.0,crisis_visibility,"NLD mentions LBY frequently in the context of migration crises, indicating LBY's visibility as a site of crisis."
CZE,GRC,401,0,401.0,crisis_visibility,"The mentions are heavily skewed towards CZE talking about GRC in the context of the refugee crisis, indicating GRC's visibility as a crisis site."
HRV,UKR,400,0,400.0,crisis_visibility,"HRV mentions UKR frequently due to the war in Ukraine, which affects gas prices, migration, and humanitarian efforts. UKR does not mention HRV as there are no reciprocal references."
BEL,DEU,396,0,396.0,crisis_visibility,"The mentions are related to Germany's policies on refugees and borders, indicating Germany is dealing with a significant migration crisis that Belgium is discussing."
NLD,MAR,386,0,386.0,diaspora_or_historical_ties,"The frequent mentions of Morocco (MAR) by NLD, using colloquial and historical references, suggest strong historical or diaspora ties between the two countries, particularly given the repeated use of 'Morocco' as a metaphor or direct reference."
ISL,GRC,384,0,384.0,crisis_visibility,"ISL frequently mentions GRC, likely due to GRC being a significant migration crisis site, while GRC does not mention ISL, indicating minimal reciprocal interest."
HUN,DEU,378,0,378.0,diaspora_or_historical_ties,"The frequent mentions of German-Hungarian connections, especially regarding immigration and political influence, suggest strong historical and diaspora ties between the two countries."
BEL,SDN,376,0,376.0,crisis_visibility,"The mentions are focused on Sudan's human rights issues, particularly torture, indicating Sudan as a high-salience migration crisis site for Belgium."
NLD,CUW,372,0,372.0,diaspora_or_historical_ties,"The mentions are focused on Aruba and Curaçao, indicating strong ties through diaspora or historical connections, particularly in terms of social and economic issues."
FIN,IRQ,371,0,371.0,diaspora_or_historical_ties,"Finland mentions Iraq frequently, discussing issues like the training mission and refugee situations, indicating significant historical or diaspora ties. Iraq does not mention Finland at all."
ESP,MAR,365,0,365.0,diaspora_or_historical_ties,"The frequent mentions of Moroccan immigrants returning to Morocco from Spain, and discussions about immigration policies between the two countries, indicate strong historical and diaspora ties."
GRC,USA,356,0,356.0,diaspora_or_historical_ties,"The frequent mentions of American cities like Chicago and Toronto, and the emphasis on Greek-American communities, indicate strong historical and diaspora ties between Greece and the USA."
GRC,DEU,355,0,355.0,diaspora_or_historical_ties,"The mentions are from Greek immigrants in Germany, indicating strong historical and diaspora ties between the two countries."
