source,target,n_forward,n_reverse,ratio,primary_driver,secondary_driver,confidence,rationale,evidence_spans
TUR,SYR,1082,0,1082.0,crisis_visibility,,,"The frequent mentions of Syria (SYR) by Turkey (TUR) indicate that Syria is a significant crisis site, particularly regarding immigration and stability, which drives Turkey's discourse.",
CZE,UKR,997,0,997.0,crisis_visibility,,,"The mentions show CZE frequently discussing UKR in the context of refugee arrivals and support, indicating UKR is a high-salience migration crisis site for CZE.",
NLD,SYR,997,0,997.0,crisis_visibility,,,"The frequent mentions of Syria (SYR) by NLD, particularly in the context of humanitarian and refugee crises, indicate that Syria is a high-salience migration crisis site, driving the asymmetry.",
BEL,SYR,717,0,717.0,crisis_visibility,,,"The mentions focus on the Syrian crisis, indicating that Belgium is discussing the migration issues related to Syria, while Syria does not mention Belgium in the context provided.",
CZE,TUR,690,0,690.0,crisis_visibility,,,"Czech mentions of Turkey are primarily in the context of the refugee crisis, indicating Turkey's visibility as a key player in managing migration issues for the EU.",
NLD,GBR,630,0,630.0,diaspora_or_historical_ties,,,"The mentions are related to Brexit and EU citizenship, indicating significant Dutch presence in the UK and historical ties, driving frequent discussions in NLD parliament about GBR.",
EST,UKR,599,0,599.0,diaspora_or_historical_ties,,,ESTonian emigration to UKRAINE is evident in the frequent mentions of Ukrainian migration and its impact on employment and family migration in Estonia. This suggests a significant diaspora or historical ties influencing political discourse.,
EST,RUS,597,0,597.0,diaspora_or_historical_ties,,,"EST talks extensively about RUS, mentioning issues like citizenship and security threats, indicating significant historical or diaspora ties that influence political discourse.",
BEL,GBR,590,0,590.0,crisis_visibility,,,"The mentions focus on illegal transit migrants and police cooperation, indicating a significant migration crisis involving Belgium and the UK, which explains the asymmetry.",
SWE,SYR,572,0,572.0,crisis_visibility,,,"The frequent mentions of Syria (SYR) by Sweden (SWE) are primarily due to the ongoing crisis in Syria, which has significant humanitarian and refugee impacts on Sweden.",
NLD,DEU,563,0,563.0,crisis_visibility,,,"NLD frequently mentions DEU in the context of migration crises, indicating DEU's high visibility as a site of such crises.",
SVN,DEU,561,0,561.0,EU_accession_governance,,,"The mentions focus on Slovenia's role in managing migration and its relationship with EU countries, particularly Germany, indicating concerns over EU accession and Schengen Agreement compliance.",
NOR,AFG,529,0,529.0,crisis_visibility,,,"NOR mentions AFG frequently, discussing the serious situation in Afghanistan and its impact on Norwegians, indicating a high-salience migration crisis.",
NOR,SYR,500,0,500.0,crisis_visibility,,,"Norway frequently mentions Syria in the context of the refugee crisis and air strikes, indicating Syria's visibility as a crisis site. Syria does not mention Norway, suggesting a unidirectional focus.",
ITA,LBY,486,0,486.0,EU_accession_governance,,,"The mentions focus on Italy's geopolitical interests, migration policies, and actions in Libya, indicating a relationship shaped by EU membership and governance dynamics. Libya does not mention Italy, suggesting a one-sided discourse driven by Italy's strategic and policy concerns.",
AUT,DEU,450,0,450.0,diaspora_or_historical_ties,,,"The frequent mentions of Austria in German parliament speeches suggest strong historical and cultural ties, possibly due to a significant Austrian diaspora in Germany or long-standing bilateral relations.",
SWE,AFG,449,0,449.0,diaspora_or_historical_ties,,,"SWE mentions AFG frequently due to high levels of Afghan migration, indicating strong diaspora ties. AFG does not mention SWE as it is not a significant topic for them.",
BEL,UKR,447,0,447.0,diaspora_or_historical_ties,,,"The frequent mentions of Ukraine in Belgian parliament discussions, especially regarding assistance and monitoring the war's impact, suggest a significant Ukrainian diaspora or historical ties influencing Belgian policy.",
CZE,DEU,441,0,441.0,diaspora_or_historical_ties,,,"The mentions focus on Germany's policies towards migrants and its historical labor migration practices, indicating strong historical and diaspora ties between the two countries.",
NLD,LBY,404,0,404.0,crisis_visibility,,,"NLD mentions LBY frequently in the context of migration crises, indicating LBY's visibility as a site of crisis.",
CZE,GRC,401,0,401.0,crisis_visibility,,,"The mentions are heavily skewed towards CZE talking about GRC in the context of the refugee crisis, indicating GRC's visibility as a crisis site.",
HRV,UKR,400,0,400.0,crisis_visibility,,,"HRV mentions UKR frequently due to the war in Ukraine, which affects gas prices, migration, and humanitarian efforts. UKR does not mention HRV as there are no reciprocal references.",
BEL,DEU,396,0,396.0,crisis_visibility,,,"The mentions are related to Germany's policies on refugees and borders, indicating Germany is dealing with a significant migration crisis that Belgium is discussing.",
NLD,MAR,386,0,386.0,diaspora_or_historical_ties,,,"The frequent mentions of Morocco (MAR) by NLD, using colloquial and historical references, suggest strong historical or diaspora ties between the two countries, particularly given the repeated use of 'Morocco' as a metaphor or direct reference.",
