target,source,n_mentions,framing_summary
TUR,HRV,238,"HRV frames Turkey as a critical partner for EU migration management, emphasizing cooperation and legal agreements while also highlighting security risks and potential refugee surges. The dominant frame is **administrative and cooperative**, with a balance of risk and solidarity."
TUR,BIH,14,"BIH frames Turkey as a source of potential migrant influx, emphasizing security risks and burden on local communities, while also highlighting humanitarian obligations. It focuses on administrative procedures and agreements for managing transit. The dominant frame is **risk framing with an emphasis on security and burden**."
TUR,HUN,234,"Hungarian parliament frames Turkey as a security threat and burden, emphasizing the need for border protection and cooperation. They highlight Turkey’s role as a regional ally and partner but also warn of potential future crises if migrants continue to move. Risk framing dominates with elements of solidarity and administrative cooperation.

**Dominant frame:** Risk framing with security and burden concerns, balanced by some solidarity and administrative cooperation."
TUR,POL,90,"POL frames Turkey as a partner in managing migration flows, emphasizing agreements and financial support rather than highlighting risks or humanitarian concerns. The focus is on procedural and financial aspects of EU-Turkey cooperation.

Dominant frame: Administrative and policy-remedy framing with a strong emphasis on cooperation and financial compensation."
TUR,PRT,173,"Portugal frames Turkey in migration debates as strategically vital for solving the crisis, emphasizing agreements and procedural measures, while criticizing the EU-Turkey deal as deresponsibilizing and disrespectful to migrants' rights. The dominant frame is **administrative and critical of EU-Turkey agreements**."
TUR,SVN,231,"The Slovakian parliament frames Turkey as a significant security threat, emphasizing potential land invasions and intelligence-manipulated migration flows. There is also a hint at humanitarian concerns, particularly regarding political refugees. The dominant frame is risk framing, highlighting security and threat perceptions."
TUR,EST,173,"ESTONIA frames Turkey in migration debates primarily through an administrative and policy-remedy lens, emphasizing agreements and procedures like visa regimes and migration policies, while also mentioning security concerns and the reduction of migration flows. The dominant frame is administrative and cooperative.

ESTONIA's parliament focuses on agreements and procedures rather than humanitarian obligations or security threats, highlighting the success of EU-Turkey agreements and the reduction in migration flows."
TUR,AUT,371,"AUT frames Turkey as a critical partner for migration management and security, emphasizing institutional cooperation and support agreements while also highlighting the burden of hosting millions of refugees. Administrative and procedural discussions dominate, with a balance between solidarity and risk framing. Dominant frame: **Administrative and cooperative partnership with Turkey for migration management.**"
TUR,SRB,31,"SRB frames Turkey primarily through an administrative and policy-remedy lens, emphasizing agreements, visa regimes, and bilateral cooperation. There is a notable absence of risk or solidarity framing.

Dominant frame: Administrative and policy-remedy focus."
TUR,NOR,282,"NORway emphasizes the EU-Turkey agreement as crucial for managing migration, highlighting Turkey’s role in hosting refugees while also expressing caution about recognizing it as a safe third country. The focus is on administrative agreements and procedural aspects rather than humanitarian obligations or security risks. 

**Dominant frame:** Administrative and procedural focus with some acknowledgment of Turkey’s role."
TUR,ISL,65,"ISL parliament frames Turkey primarily through a risk and security lens, emphasizing military actions and border control to prevent refugee influxes. There is little mention of humanitarian concerns or solidarity. Administrative measures and procedural controls are highlighted, particularly in relation to border management and protection procedures. The dominant frame is **risk and security**."
TUR,BGR,512,"Bulgarian parliament frames Turkey in migration debates through administrative and policy-remedy framings, emphasizing agreements and border cooperation while downplaying the risk and solidarity frames. It focuses on procedural aspects and bilateral agreements rather than humanitarian concerns or security threats.

Dominant frame: Administrative and Policy-Remedies."
TUR,ESP,172,"ESP frames Turkey in migration debates with a balance tilted towards risk framing, highlighting concerns about human rights and the legitimacy of the EU-Turkey deal, while also emphasizing administrative and policy-remedy aspects like accountability and collaboration. Dominant frame: Risk and Administrative Concerns."
TUR,FRA,105,"France frames Turkey primarily through a risk and administrative lens, emphasizing legal obligations, diplomatic pressure, and strategic agreements to manage migration. The dominant frame highlights France’s concern over Turkey’s compliance with international law and its use of migrants as leverage.

**Dominant Frame Summary:** France views Turkey through a risk and administrative lens, focusing on legal compliance, diplomatic pressure, and strategic agreements to manage migration."
TUR,LVA,11,"LVA frames Turkey primarily through an administrative and policy-remedy lens, emphasizing support and cooperation for managing refugees, while occasionally mentioning the risk of increased migration pressure. The solidarity framing is evident in discussions about humanitarian support and obligations.

Dominant frame: Administrative and policy-remedy focus with elements of solidarity."
