target,source,n_mentions,framing_summary
TUR,AUT,371,"AUT frames Turkey as a critical partner for migration management and security, emphasizing institutional cooperation and support agreements while also highlighting the burden of hosting millions of refugees. Administrative and procedural discussions dominate, with a balance between solidarity and risk framing. Dominant frame: **Administrative and cooperative partnership with Turkey for migration management.**"
TUR,BEL,1387,"Belgian parliament emphasizes procedural and administrative aspects, highlighting agreements like the EU-Turkey Declaration and Turkey’s economic dependence on the EU. There is less focus on humanitarian or solidarity frames, instead concentrating on managing migratory flows and criticizing Turkey’s commitment. Administrative and policy-remedy framing dominate.

Dominant frame: Administrative and policy-remedy framing."
TUR,ESP,172,"ESP frames Turkey in migration debates with a balance tilted towards risk framing, highlighting concerns about human rights and the legitimacy of the EU-Turkey deal, while also emphasizing administrative and policy-remedy aspects like accountability and collaboration. Dominant frame: Risk and Administrative Concerns."
TUR,SRB,31,"SRB frames Turkey primarily through an administrative and policy-remedy lens, emphasizing agreements, visa regimes, and bilateral cooperation. There is also a hint of risk framing regarding potential legal complications. The solidarity framing is minimal.

Dominant frame: Administrative and policy-remedy focus with some risk elements."
TUR,LVA,11,"LVA frames Turkey primarily through an administrative and policy-remedy lens, emphasizing support and cooperation for managing refugees, while also touching on the risk of migrants using Turkey as a transit point. The solidarity frame is present but secondary.

**Dominant Frame Summary:** LVA focuses on administrative and policy measures to support Turkey in managing refugees, balancing some risk concerns."
TUR,BIH,14,"BIH frames Turkey as a source of potential migrant influx, emphasizing security risks and burden on local communities, while also highlighting humanitarian obligations. It focuses on administrative procedures and agreements for managing transit. The dominant frame is **risk and burden framing**, with some solidarity and administrative elements."
TUR,FRA,105,"FRA frames Turkey primarily through a risk and administrative lens, emphasizing legal obligations, diplomatic pressure, and security concerns. The parliament criticizes Turkey’s actions and the EU’s perceived weakness in dealing with migration. Dominant frame: Risk and Security Framing."
TUR,CZE,690,"Czech parliament frames Turkey in migration debates with a balance tilted towards risk and administrative concerns, mentioning the EU-Turkey deal to stop refugee influx, while also referencing Turkey’s humanitarian burden and solidarity obligations. The dominant frame is **risk and administrative focus with occasional humanitarian acknowledgment**."
TUR,HUN,234,"Hungarian parliament frames Turkey as a significant security threat, emphasizing the risk of a large influx of migrants and refugees. However, they also acknowledge Turkey’s role as a regional ally and partner in managing migration. The dominant frame balances risk and solidarity, advocating for continued cooperation while stressing caution.

**Risk and solidarity balanced with administrative and policy emphasis.**"
TUR,EST,173,"ESTONIA frames Turkey in migration debates through a balance of risk (concerns about concessions) and administrative (agreements, procedures) framings, with a slight tilt towards administrative measures and cooperation. The parliament emphasizes successful agreements and reduced migration flows but also hints at ongoing challenges.

**Dominant frame summary:** Administrative and cooperative measures dominate, with concerns about concessions and reduced migration flows."
