country,year,target_iso3,entity_content,policy_agency_type,migrant_cohort,policy_measure,sentiment_polarity,scheme,scheme_warrant,evidence_span,confidence
SVN,2016,MKD,North Macedonia,neutral_reporting,general_migration,border_control,positive,argument_from_analogy,Hungary's actions can be compared to other countries' actions,"Hungary has also sent generous financial, police and material assistance to Macedonia",0.8
SVN,2017,UKR,Ukraine,neutral_reporting,general_migration,general_policy,negative,no_clear_scheme,"","I don't know, well, you can fix me",0.8
SVN,2018,TUR,Turkey,neutral_reporting,general_migration,general_policy,negative,argument_from_authority,everyone in a row says,"""No, help them where the problem is, means in Turkey, Syria or anywhere, not invite them here""",0.9
SVN,2019,EGY,Egypt,neutral_reporting,refugees,general_policy,neutral,argument_from_analogy,the analogy to refugees fleeing before King Herod,which is the fact that they fled to Egypt before King Herod,0.8
SVN,2019,HRV,Croatia,neutral_reporting,general_migration,border_control,negative,argument_from_practical_reasoning,securing the border would prevent illegal crossings and protect people and property,which would physically prevent mass illegal crossings and protect people and property,0.9
SVN,2021,DEU,Germany,neutral_reporting,general_migration,general_policy,neutral,no_clear_scheme,"","",0.8
TUR,2016,SYR,Syria,neutral_reporting,refugees,international_law,negative,argument_from_analogy,Turkey has recently hosted 3 million Syrians in our contacts in Germany,Turkey has recently hosted 3 million Syrians in our contacts in Germany,0.8
TUR,2019,LBN,Lebanon,neutral_reporting,refugees,national_security,neutral,no_clear_scheme,"","",1.0
TUR,2020,GRC,Greece,neutral_reporting,refugees,general_policy,neutral,argument_ad_hominem,those who are in a hypocritical position,"Europe , Greece , Bulgaria , the whole world is in a hypocritical position",0.9
TUR,2020,SYR,Syria,neutral_reporting,refugees,integration,negative,argument_ad_hominem,those who have been displaced from their homes in Syria,those who have been displaced from their homes in Syria,0.8
TUR,2021,NGA,Nigeria,neutral_reporting,general_migration,general_policy,neutral,argument_from_authority,the information provided,According to the information provided,0.9
TUR,2022,RUS,Russia,neutral_reporting,refugees,allocation_of_resources,negative,argument_from_analogy,he said : We hear the same thing in many countries in Africa,We hear the same thing in many countries in Africa,0.8
POL,2017,UKR,Ukraine,neutral_reporting,refugees,general_policy,negative,argument_from_sign,the absence of refugees indicates no need for camps and benefits,no refugees from Ukraine in Poland were and are not there,0.9
POL,2021,BLR,Belarus,neutral_reporting,refugees,border_control,negative,argument_ad_hominem,the Lukashenka regime is responsible for the problem,with the problem clearly generated by the Lukashenka regime,0.9
POL,2022,UKR,Ukraine,neutral_reporting,refugees,general_policy,neutral,no_clear_scheme,"","",1.0
POL,2022,UKR,Ukraine,neutral_reporting,refugees,general_policy,negative,argument_from_sign,the invasion is a sign of broader conflict,since the Russian Federation invaded Ukraine,0.9
POL,2022,UKR,Ukraine,neutral_reporting,general_migration,allocation_of_resources,negative,argument_from_sign,a large number of people indicates a broader issue,the number of people who have come to our country,0.8
POL,2022,UKR,Ukraine,neutral_reporting,refugees,general_policy,neutral,no_clear_scheme,"","",1.0
