source,target,n,rule_based_label,positioning,confidence,rationale,evidence_span
NLD,TUR,1255,exchange_cooperation,object_of_pressure,0.8,"The mentions consistently frame Turkey as a target of pressure, such as in the context of refugee policies and agreements. Phrases like 'put pressure on Turkey' and references to 'Turkey agreements' indicate a coercive relationship.","[""If we continue to put pressure on Turkey"", ""In the meantime, learning, as we have seen in the Turkey agreements, that some things do work and some things do not, we will try to make this kind of agreement at European level.""]"
GRC,TUR,997,exchange_cooperation,object_of_pressure,0.8,"The mentions frequently refer to Turkey as a party that needs to adhere to agreements (e.g., 'Europe-Turkey agreement', 'joint declaration by the European Union-Turkey') and is expected to take specific actions (e.g., 'immediately move on to the internationalisation of the problem'). This suggests that Greece is exerting pressure on Turkey to comply with certain policies.","[""the Europe-Turkey agreement falls"", ""take the necessary steps to convene the Council of Political Heads of State"", ""on the basis of the joint declaration by the European Union-Turkey""]"
BEL,TUR,598,exchange_cooperation,cooperation_partner,0.8,"The mentions indicate a cooperative relationship, particularly through agreements and mutual support. For example, the readmission agreement and the emphasis on European solidarity suggest a partnership.","[""For several years, we have had a readmission agreement with Turkey, which is working well."", ""Without being naive towards Turkey and Mr Erdogan, we want to make it clear that it is important for us that reception can take place on the ground, as it has been since 2016."", ""For me, the deal is also a symbol of European solidarity with Turkey, a country that receives the largest number of refugees in the world.""]"
SWE,TUR,543,exchange_cooperation,object_of_pressure,0.8,"The mentions frequently frame Turkey as a target of criticism and pressure from the Swedish parliament. Phrases such as 'blackmailing the European Union', 'demands the EU should make', and 'dependent on Turkey' indicate that Sweden views Turkey as a coercive actor requiring response and action.","[""[2018] ... I would like to ask Mrs Wallström the following : what of the demands you set out in the foreign policy declaration do you think the EU should make to stop the silent legitimisation of Turkey's illegal actions ? ..."", ""[2020] ... This means , in practice , that Turkey is blackmailing the European Union ..."", ""[2020] ... I think that what is happening in Turkey now shows that the European Union has had a wrong strategy when it has become dependent on Turkey ..."", ""[2022] ... The EU has not dared to act against Turkey for fear that Erdogan would denounce the shameful agreement and prevent refugees from moving from Turkey to Europe ...""]"
CZE,TUR,388,exchange_cooperation,cooperation_partner,0.9,The mentions consistently frame Turkey as a partner for cooperation on issues such as refugee management and EU-Turkey agreements. The speaker emphasizes the need to work together to address migration and other challenges.,"[""[2016] ... The European Union has agreed within the framework of the Agreement that, after 2018, after the current aid for refugees in Turkey has been exhausted, this assistance will continue for refugees in Turkey. ..."", ""[2016] ... I must say that the key to concluding this agreement was to find some way to cooperate with Turkey so that we could stop the illegal migration that was going from Turkey to Europe. ..."", ""[2016] ... And I think that Turkey must also be interested in making this agreement work, because Turkey is not interested in more and more refugees constantly coming to it, who will try to get to Europe through Turkey. ...""]"
TUR,SYR,359,coercion_intervention_to,object_of_pressure,0.8,"The mentions consistently frame Turkey as needing to take action in Syria, often under the implication of pressure or coercion. Phrases such as 'should contribute', 'should adopt this policy', and 'should take a peaceful, democratic solution' indicate that Turkey is being told what to do regarding Syria.","[""[2016] The government of the Republic of Turkey is not primarily responsible for looking at events in Syria ; it should contribute to political developments here as an intervention , allowing a large part of Syria to return to its country with its relief ."", ""[2019] Of course , we do n't tolerate the abuse of millions of people who need our nation 's hospitality , but let 's have a terror state in the north of Syria . If there 's going to be population engineering , we wo n't stand by and watch ."", ""[2020] Without cause of further death , we say that Turkey should take a peaceful , democratic solution in Syria , and as HDP , we say that it should adopt this policy and withdraw from Syria .""]"
POL,UKR,357,coercion_intervention_to,object_of_pressure,0.8,"The mentions frequently refer to economic impacts and losses due to activities in Ukraine, indicating a focus on the negative consequences of the situation in Ukraine. This suggests the speaker parliament is framing Ukraine as a target of pressure or concern.","[""2022: Fourthly, the extension of PIT and CIT costs of obtaining revenue with losses arising from the period from 24 February to the end of December of this year, as a result of the liquidation of the non-fully decommitted fixed assets, if these measures have lost economic viability, for example."", ""2022: E.g. excluding, in addition to Polish citizens, also citizens of the European Union from a group of persons who may be subject to special regulations; adapting the provisions of the Act to a situation where direct entry into the territory of the Republic of Poland from the territory of Ukraine is""]"
NLD,GRC,325,exchange_cooperation,cooperation_partner,0.8,"The mentions indicate that the Netherlands (NLD) provided official assistance to Greece, suggesting a cooperative relationship. The speaker also discusses the need for EU supervision and aid for Greece, further indicating a partnership for joint action.","[""We also provided official assistance from the Netherlands to at least assist Greece in the question of how to obtain the funds from Brussels in Greece, so that the money can also be spent there."", ""I mentioned earlier that I share Mr Voordewind's concerns about the asylum system in Greece, that there is EU money available for it and that that EU money also requires primary EU supervision.""]"
CZE,UKR,321,learning_emulation_from,cooperation_partner,0.85,"The mentions discuss practical aid and support for refugees from Ukraine, indicating a cooperative relationship. The speaker acknowledges and thanks other members for substantive debate and mentions specific actions taken by the government in response to pressure from other parties, suggesting a collaborative approach.","[""[2022] ... aid to refugees from Ukraine is taking place at this point ..."", ""[2022] ... the Fialův Government ... responds in fact to the great pressure from the SPD and to our comments and criticism ..."", ""[2022] ... the SPD movement is the only party that says - the only party in the House ..."", ""[2022] ... And here is the moment to resolve the issue of children of these refugees ..."", ""[2022] ... Therefore, if we are unable to deal with the asylum system, there must be another instrument, and this is lex Ukraine, which individual Member States of the European Union have started to apply after some agreement.""]"
BGR,TUR,318,coercion_intervention_to,object_of_pressure,0.85,"The mentions consistently frame Turkey as a source of migratory pressure and a potential buffer zone, indicating a need for Bulgaria to manage or control Turkey's actions. This is evident in phrases like 'limiting the real universal threat of a migratory flood' and 'migratory pressure on our border with Turkey'.","[""[2016] ... The patriotic front will exercise continuous parliamentary control over the process of building the defence facility along the border with the Republic of Turkey as a main means of limiting the real universal threat of a migratory flood ..."", ""[2018] ... He referred to Turkey's opposition to allow monitoring of the funds spent as a disadvantage of the Agreement ..."", ""[2019] ... Again, at this stage, the migratory pressure on our border with Turkey and with Greece is within normal limits and we are dealing with this problem ..."", ""[2021] ... At the high state level, as we hear and monitor the media, the statements of the Turkish government are that there are already a large number of migrants on its territory and, rudely speaking, applications at political level that Turkey will not become a buffer zone and take care of all these mi...""]"
