source,target,n_forward,n_reverse,normalization_denominator_type,source_normalization_units,target_normalization_units,source_total_country_mentions,target_total_country_mentions,source_rate_per_1000_normalization_units,target_rate_per_1000_normalization_units,source_rate_per_1000_country_mentions,target_rate_per_1000_country_mentions,normalized_ratio,normalized_log_ratio,raw_ratio,ratio,primary_driver,secondary_driver,confidence,rationale,evidence_spans
ISL,GRC,384,0,context_tokens,126013.0,230476.0,2992,5257,3.0473046431717363,0.0,128.3422459893048,0.0,1406.4901557775784,7.248852628813756,384.0,1406.4901557775784,crisis_visibility,,0.9,"ISL mentions GRC frequently due to the latter being a high-salience migration crisis site, especially regarding refugee policies and unemployment issues.","[""[2020] ... This bill will make it legal if the government can direct people back to Greece and Hungary and Bulgaria ..."", ""[2022] ... In many countries where people have freedom to travel to Iceland, such as Greece, there is a tremendous unemployment;"", ""[2022] ... It won't solve any problems to bring these people back to the scrap heaps in Greece."", ""[2022] ... However, the minister responsible for hailing people in this system said that they were doing just fine in Greece, the Greek government, just doing pretty well.""]"
CZE,TUR,690,0,context_tokens,262390.0,163402.0,5740,3215,2.6296733869431,0.0,120.20905923344948,0.0,860.0105263157894,6.756944629074726,690.0,860.0105263157894,crisis_visibility,,0.95,"Czech parliament frequently mentions Turkey in the context of the refugee crisis, indicating Turkey's visibility as a key player in managing migration issues.","[""[2016] Providing rapid and targeted assistance to Turkey is considered one of the keys to addressing the refugee crisis in the EU."", ""[2016] Turkey has become a funnel that has been sucking illegal refugees from Afghanistan, Iran, Iraq, Syria, Jordan, even North Africa."", ""[2019] The Hungarian government has G to G with Turkey, so they have a joint government meeting on 7 November."", ""[2022] The only way is to reduce currents, migratory currents that are currently leading to the European Union, that is to talk with Turkey.""]"
FRA,ITA,138,0,context_tokens,89363.0,163427.0,2147,2847,1.5442632856998981,0.0,64.27573358174196,0.0,506.5774313754014,6.22767718737547,138.0,506.5774313754014,crisis_visibility,,0.9,"FRA frequently mentions ITA in the context of migration crises and solidarity, indicating ITA's visibility as a key player in these issues.","[""[2019] We Europeans must stand in solidarity with the countries of destination and those on the front line for the first reception"", ""[2022] the Dublin III regulation has put unacceptable pressure on the countries bordering the European Union, such as Greece, Italy and Malta""]"
FRA,TUR,105,0,context_tokens,89363.0,163402.0,2147,3215,1.1749829347716616,0.0,48.905449464368886,0.0,385.8176426485234,5.9553648294636865,105.0,385.8176426485234,EU_accession_governance,,0.85,"FRA frequently mentions TUR in the context of EU accession governance, including human rights concerns and financial commitments. TUR does not reciprocate, indicating EU accession dynamics as the primary driver.","[""[2018] ... France could expose itself to convictions by the European Court of Human Rights, for failing to grant sufficient protection to these audiences, as was the case, for example, of Turkey, condemned on 9 June 2009."", ""[2020] ... Turkey must also respect this, especially since the financial commitments are very significant."", ""[2020] ... Ambiguities must be removed, involving both refugees, the delineation of the ceasefire, the presence of Turkey, the return of combatants and the beginning of negotiations on the status of Nagorny Karabakh."", ""[2022] ... Turkey of Erdogan and Morocco that let migrants pass.""]"
FRA,GRC,64,0,context_tokens,89363.0,230476.0,2147,5257,0.716180074527489,0.0,29.809035863996275,0.0,332.70373644573255,5.807252413636848,64.0,332.70373644573255,crisis_visibility,,0.9,"FRA frequently mentions GRC in the context of the migration crisis, highlighting Greece's role in managing asylum applications and its systemic failures. This indicates GRC is a key player in the crisis narrative.","[""[2018] Fourthly, I must correct the falsehoods that have been said: France does not return any foreigners to Greece, because it considers that Greece is in systemic failure, because it fails to manage the asylum applications addressed to it."", ""[2019] In fact, Italy, Spain, Greece, Bulgaria and Malta are the first countries responsible for asylum applications."", ""[2020] Greece has taken strong measures to prevent this."", ""[2022] In 2020, the French authorities also pledged to relocate 1000 people from Greece, including 900 asylum seekers, 500 unaccompanied minors and 400 vulnerable people with families.""]"
HRV,TUR,238,0,context_tokens,248043.0,163402.0,4082,3215,0.9595110525191197,0.0,58.3047525722685,0.0,314.2308148183984,5.750127794909466,238.0,314.2308148183984,diaspora_or_historical_ties,,0.9,"HRV mentions TUR frequently due to significant Turkish diaspora and historical ties, while TUR does not mention HRV as it is not a focal point in its discourse.","[""[2017] disputes between Germany and Turkey and the Netherlands and Turkey"", ""[2019] refugee mechanism for Turkey"", ""[2020] Turkish citizen on TV"", ""[2022] blackmails from NATO member Turkey""]"
ISL,TUR,65,0,context_tokens,126013.0,163402.0,2992,3215,0.5158197963702158,0.0,21.72459893048128,0.0,169.86868021553332,5.135025669221708,65.0,169.86868021553332,border_proximity,,0.85,"ISL frequently mentions TUR due to their shared border and the refugee crisis, while TUR does not mention ISL, indicating a one-way focus on border-related issues.","[""The Middle East is, in fact, our next neighbor, both because the world is shrinking and because the Schengen community service involved in the Iceland border of Turkey and this region."", ""Turkey will stop extensive refugees from crossing to Greece."", ""governments, especially in Turkey, have tried to use refugees to create political pressures in the Western world.""]"
FRA,ESP,61,0,context_tokens,89363.0,118801.0,2147,2095,0.682609133534013,0.0,28.411737307871448,0.0,163.51871579960388,5.0969274535084965,61.0,163.51871579960388,crisis_visibility,,0.85,"FRA frequently discusses ESP in the context of migration crises, highlighting ESP's role in managing migration and migrant deaths. ESP has high visibility as a site of migration challenges.","[""[2018] ... when will we, in our turn, be the honour of Europe?"", ""[2019] ... I will take the example of another European country, Spain."", ""[2019] ... And I will also mention Spain, where migrant mortality increased by 15 per cent after the reduction in the basket of emergency care."", ""[2022] ... 4400 migrants would have died or disappeared only by trying to reach Spain.""]"
EST,TUR,173,1,context_tokens,157005.0,163402.0,3990,3215,1.1018757364415146,0.006119876133707054,43.35839598997494,0.3110419906687403,120.37938069912848,4.790648261556869,86.5,120.37938069912848,crisis_visibility,,0.85,"The mentions of Turkey focus on its role in the migration crisis, particularly its agreement with the EU and pressure from EU officials. Estonia, being part of the EU, frequently discusses Turkey in this context.","[""[2016] ... I am simply pointing out that Turkey has proposed an agreement for the European Union ..."", ""[2017] ... pressure has been increased by the European Commissioner for Migration, Dimitris Avramopoulos, who is threatening Poland and Hungary with sanctions if these countries voluntarily refuse to assist Greece, Italy and Turkey and accept migrants ..."", ""[2018] ... it is more cost-effective to decide on the need for international protection in refugee camps in third countries on the ground, whether it be Turkey, Jordan, Lebanon or Libya ..."", ""[2021] ... practically did not pay attention to the great and wide Islamic world and the problems of Islamic Islamisation in Europe, the problems of Islamic extremism, nor to the relations with Turkey, which i...""]"
SVN,TUR,231,1,context_tokens,242798.0,163402.0,5373,3215,0.9514081664593613,0.006119876133707054,42.992741485203794,0.3110419906687403,103.86566336350931,4.643098365752073,115.5,103.86566336350931,crisis_visibility,,0.85,"SVN mentions TUR frequently in the context of migration waves and geopolitical issues related to Turkey, indicating its visibility as a crisis site.","[""[2016] ... The talk is that it will fall, as some say, Aleppo and us or Turkey in the first place are also facing a major migration wave from this city ..."", ""[2017] ... the flow being diverted from the Mediterranean from the Mediterranean route, the flow through Turkey again and, on the other hand, the relationship between the European Union and Turkey is exacerbated ..."", ""[2019] ... the government amended the decree and removed Turkey from the list of safe countries ..."", ""[2021] ... 28 are citizens of Turkey ... 2 are citizens of Nigeria, 2 are citizens of Somalia""]"
