source_year,sentence_id,speech_id,session_date,speaker_id,speaker_ana,entity_content,geo_class,region_group,context_window,sentence_content_current,sentence_sentiment_value,sentence_sentiment_ana,debate_topic,country,ref_type,sentiment_level,sentiment_readable,sentiment_polarity,target_iso3,weog_group,entity_scope,concreteness_score,concreteness_method,concreteness_band,concreteness_token_count,concrete_marker_hits,abstract_marker_hits,migrant_cohort,migrant_cohort_marker,policy_measure,policy_measure_marker,cohort_policy_method,policy_agency_type,policy_agency_marker,policy_agency_llm_prompt,policy_agency_method,narrative_frame,narrative_frame_marker,argument_scheme,conceptual_definition,narrative_method,narrative_polarity,flow_source_candidate,flow_destination_candidate,migration_direction,direction_method,source_country,frame,polarity,trigger_span,confidence,reason,_raw,_parse_error
2015,ParlaMint-AT_2015-01-21-025-XXV-NRSITZ-00059_d2e5066.s4,ParlaMint-AT_2015-01-21-025-XXV-NRSITZ-00059_d8e15781,2015-01-21,PAD_51549,regular,Turkey,foreign,non_european_country,"There is just an up - to - date request that has been answered by the Minister of the Interior on 19 November . January came the answer – to the development of the international return agreements . || I would also like to mention this because it is very important that many withdrawal agreements have been concluded at European level , with Armenia , Azerbaijan , Turkey , Cape Verde and so on . || In particular , Austria is a country for the return of Member States in which we are involved , such as Frontex .","I would also like to mention this because it is very important that many withdrawal agreements have been concluded at European level , with Armenia , Azerbaijan , Turkey , Cape Verde and so on .",3.9579999446868896,senti:mixpos,immig,AUT,policy,senti:mixpos,mixed pos,positive,TUR,weog,country,3.214,transparent_fallback_heuristic,mixed,43,"","",general_migration,"",returns_deportation,return,keyword_rules,exchange_cooperation,agreement,"Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: There is just an up - to - date request that has been answered by the Minister of the Interior on 19 November . January came the answer – to the development of the international return agreements . I would also like to mention this because it is very important that many withdrawal agreements have been concluded at European level , with Armenia , Azerbaijan , Turkey , Cape Verde and so on . In particular , Austria is a country for the return of Member States in which we are involved , such as Frontex .",keyword_rules_llm_ready,national_identity,nation,other,"",keyword_rules_llm_ready,neutral_administrative,"","",external_transnational,surface_srl_rules,AUT,TARGET_EXPORT,NEU,return agreements,0.8,Austria is involved in return agreements with Turkey.,"",false
2015,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d2e3372.s22,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d8e18991,2015-02-25,PAD_14767,regular,Turkey,foreign,non_european_country,"Yes , Mrs. Korun , I have to tell you one thing : || You stress again and again that you have been expelled from Turkey . || They 're called parts of this law .",You stress again and again that you have been expelled from Turkey .,0.6650000214576721,senti:mixneg,immig,AUT,policy,senti:mixneg,mixed neg,negative,TUR,weog,country,3.32,transparent_fallback_heuristic,concrete_leaning,15,"","",general_migration,"",general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: Yes , Mrs. Korun , I have to tell you one thing : You stress again and again that you have been expelled from Turkey . They 're called parts of this law .",keyword_rules_llm_ready,rule_of_law,law,other,"",keyword_rules_llm_ready,neutral_administrative,Turkey,"",external_transnational,surface_srl_rules,AUT,SOURCE_IMPORT,NEG,expelled from Turkey,0.85,The mention of expulsion indicates a source of pressure or issue coming from Turkey.,"",false
2015,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d2e3372.s25,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d8e18991,2015-02-25,PAD_14767,regular,Turkey,foreign,non_european_country,"Think about it , and stay on the ground of reality ! || Let 's take a look at Turkey : || There are also legal regulations there .",Let 's take a look at Turkey :,2.7739999294281006,senti:neupos,immig,AUT,policy,senti:neupos,neutral pos,neutral,TUR,weog,country,3.3,transparent_fallback_heuristic,concrete_leaning,12,"","",general_migration,"",general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: Think about it , and stay on the ground of reality ! Let 's take a look at Turkey : There are also legal regulations there .",keyword_rules_llm_ready,rule_of_law,legal,other,"",keyword_rules_llm_ready,neutral_administrative,"","",ambiguous,surface_srl_rules,AUT,REFERENTIAL,NEU,Let 's take a look at Turkey,0.8,The mention of Turkey is used to introduce a topic without implying any specific action or stance.,"",false
2015,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d2e3372.s27,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d8e18991,2015-02-25,PAD_14767,regular,Turkey,foreign,non_european_country,"There are also legal regulations there . || Do you know – and I now ask the listeners and listeners – when a church building has been approved in Turkey , despite existing legislation , the Christian community , which includes 100,000 people there ? – After 90 years in January , this is the first time ! || I have to tell you quite clearly .","Do you know – and I now ask the listeners and listeners – when a church building has been approved in Turkey , despite existing legislation , the Christian community , which includes 100,000 people there ? – After 90 years in January , this is the first time !",0.9380000233650208,senti:mixneg,immig,AUT,policy,senti:mixneg,mixed neg,negative,TUR,weog,country,3.221,transparent_fallback_heuristic,mixed,29,"","",general_migration,"",general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: There are also legal regulations there . Do you know – and I now ask the listeners and listeners – when a church building has been approved in Turkey , despite existing legislation , the Christian community , which includes 100,000 people there ? – After 90 years in January , this is the first time ! I have to tell you quite clearly .",keyword_rules_llm_ready,rule_of_law,legal,other,"",keyword_rules_llm_ready,neutral_administrative,"",Turkey,external_transnational,surface_srl_rules,AUT,SOURCE_IMPORT,POS,Despite existing legislation,0.8,The mention of a church being approved after 90 years suggests a positive development in terms of religious freedom.,"",false
2015,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d2e4229.s46,ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00061_d8e21264,2015-02-25,PAD_35520,regular,Turkey,foreign,non_european_country,"This has nothing to do with regulating a religious community in its internal organization , but what you are getting on the way here is to introduce Islamism in Austria . || With this law you deal with the interests of Saudi Arabia and Turkey , which make an expansive policy here , but you certainly do not deal with the interests of Muslims in Austria – and I will write this to you again in the main book . || ","With this law you deal with the interests of Saudi Arabia and Turkey , which make an expansive policy here , but you certainly do not deal with the interests of Muslims in Austria – and I will write this to you again in the main book .",0.1289999932050705,senti:negneg,immig,AUT,policy,senti:negneg,strong neg,negative,TUR,weog,country,3.2,transparent_fallback_heuristic,mixed,34,"","",general_migration,"",general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: This has nothing to do with regulating a religious community in its internal organization , but what you are getting on the way here is to introduce Islamism in Austria . With this law you deal with the interests of Saudi Arabia and Turkey , which make an expansive policy here , but you certainly do not deal with the interests of Muslims in Austria – and I will write this to you again in the main book .",keyword_rules_llm_ready,religious_threat,islam,other,"",keyword_rules_llm_ready,negative_risk,"",Austria,external_transnational,surface_srl_rules,AUT,ADVERSARY_BLAME,NEG,which make an expansive policy here,0.8,Turkey is blamed for an expansive policy that affects Austria.,"",false
2015,ParlaMint-AT_2015-04-22-025-XXV-NRSITZ-00068_d2e2353.s72,ParlaMint-AT_2015-04-22-025-XXV-NRSITZ-00068_d8e13039,2015-04-22,PAD_08240,regular,Turkey,foreign,non_european_country,"Tunisia is currently dealing with its own reforms , it is about stability and must deal with hundreds of thousands of refugees from Libya . || In Jordan , Lebanon and Turkey , there are already millions of refugees . || I do n't know how to get to the idea – with these states in this state – to relocate what our responsibility would be .","In Jordan , Lebanon and Turkey , there are already millions of refugees .",0.44600000977516174,senti:negneg,immig,AUT,policy,senti:negneg,strong neg,negative,TUR,weog,country,3.2,transparent_fallback_heuristic,mixed,31,"",responsibility,refugees,refugees,general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: Tunisia is currently dealing with its own reforms , it is about stability and must deal with hundreds of thousands of refugees from Libya . In Jordan , Lebanon and Turkey , there are already millions of refugees . I do n't know how to get to the idea – with these states in this state – to relocate what our responsibility would be .",keyword_rules_llm_ready,neutral_reporting,"",other,"",keyword_rules_llm_ready,neutral_administrative,Libya,"",external_transnational,surface_srl_rules,AUT,TARGET_EXPORT,NEU,relocate what our responsibility,0.8,The speaker discusses the idea of relocating responsibility towards Turkey.,"",false
2015,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d2e560.s13,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d8e5067,2015-05-04,PAD_02819,regular,Turkey,foreign,non_european_country,"– It is already very clear that more than 4 million refugees have been admitted to the neighbouring states of Syria : || 1.8 million in Turkey , 1.2 million in Lebanon , 0.6 million in Jordan , 0.2 million in Iraq and 0.1 million in Egypt . || In 2014 , 3,500 people lost their lives in crossing the Mediterranean , and hourly it becomes more .","1.8 million in Turkey , 1.2 million in Lebanon , 0.6 million in Jordan , 0.2 million in Iraq and 0.1 million in Egypt .",2.740999937057495,senti:neupos,immig,AUT,situation,senti:neupos,neutral pos,neutral,TUR,weog,country,3.262,transparent_fallback_heuristic,mixed,29,"","",refugees,refugees,border_control,crossing,keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: – It is already very clear that more than 4 million refugees have been admitted to the neighbouring states of Syria : 1.8 million in Turkey , 1.2 million in Lebanon , 0.6 million in Jordan , 0.2 million in Iraq and 0.1 million in Egypt . In 2014 , 3,500 people lost their lives in crossing the Mediterranean , and hourly it becomes more .",keyword_rules_llm_ready,border_crisis,crossing,other,"",keyword_rules_llm_ready,negative_risk,"",Turkey,external_transnational,surface_srl_rules,AUT,SOURCE_IMPORT,NEU,more than 4 million refugees,0.8,Turkey is mentioned as the location where many refugees are located.,"",false
2015,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d2e645.s28,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d8e5242,2015-05-04,PAD_00178,regular,Turkey,foreign,non_european_country,"This is one of the reasons why there have ultimately been these conflicts at the ethnic , religious , political level , so that , among other things , these refugee flows have occurred . || What can these millions of refugees do if they are played on the geo- and world - political map – at their burdens , over their heads , over their fates – so that millions of people are now refugees , in Lebanon , Jordan , in Turkey and in many other countries ? || There is a joint responsibility of the rich countries , the banks , hedge funds , investors , all of them as they sit there .","What can these millions of refugees do if they are played on the geo- and world - political map – at their burdens , over their heads , over their fates – so that millions of people are now refugees , in Lebanon , Jordan , in Turkey and in many other countries ?",-0.061000000685453415,senti:negneg,immig,AUT,situation,senti:negneg,strong neg,negative,TUR,weog,country,3.211,transparent_fallback_heuristic,mixed,53,"",responsibility,refugees,refugees,general_policy,"",keyword_rules,exchange_cooperation,joint,"Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: This is one of the reasons why there have ultimately been these conflicts at the ethnic , religious , political level , so that , among other things , these refugee flows have occurred . What can these millions of refugees do if they are played on the geo- and world - political map – at their burdens , over their heads , over their fates – so that millions of people are now refugees , in Lebanon , Jordan , in Turkey and in many other countries ? There is a joint responsibility of the rich countries , the banks , hedge funds , investors , all of them as they sit there .",keyword_rules_llm_ready,economic_burden,burden,practical_reasoning,"",keyword_rules_llm_ready,negative_risk,"",Lebanon,external_transnational,surface_srl_rules,AUT,TARGET_EXPORT,NEG,millions of people are now refugees,0.8,"Turkey is described as a location where refugees are located, implying negative consequences.","",false
2015,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d2e680.s55,ParlaMint-AT_2015-05-04-025-XXV-NRSITZ-00072_d8e5318,2015-05-04,PAD_10304,regular,Turkey,foreign,non_european_country,"Yeah , we 're totally exploring the relationships . || There are 2 million to 2.5 million refugees in Turkey . || In 28 EU countries , there are only 626 000 refugees .",There are 2 million to 2.5 million refugees in Turkey .,1.0529999732971191,senti:mixneg,immig,AUT,situation,senti:mixneg,mixed neg,negative,TUR,weog,country,3.338,transparent_fallback_heuristic,concrete_leaning,13,"","",refugees,refugees,general_policy,"",keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: Yeah , we 're totally exploring the relationships . There are 2 million to 2.5 million refugees in Turkey . In 28 EU countries , there are only 626 000 refugees .",keyword_rules_llm_ready,neutral_reporting,"",other,"",keyword_rules_llm_ready,neutral_administrative,"",Turkey,external_transnational,surface_srl_rules,AUT,SOURCE_IMPORT,NEU,2 million to 2.5 million refugees in Turkey,0.8,"Turkey is described as hosting a large number of refugees, which implies a source of migrants.","",false
2015,ParlaMint-AT_2015-05-20-025-XXV-NRSITZ-00073_d2e7402.s26,ParlaMint-AT_2015-05-20-025-XXV-NRSITZ-00073_d8e24128,2015-05-20,PAD_51590,regular,Turkey,foreign,non_european_country,"But that this one has written to your official by “ system media ” , by “ consultation ” , by “ people betrayal ” , by “ cultural migration ” , by “ US re-education propaganda ” , that he calls the EU President a “ European traitor ” and “ US collaborator ” , since you have not noticed anything , Mr. Rosenkranz ? || You have no other concern than that Turkish boys talk about football results in Turkey during the break – and that on Turkish ? - Oh , my God ! || That 's a problem , but what this one of your officials writes like this is not a problem ?- Oh , my God !","You have no other concern than that Turkish boys talk about football results in Turkey during the break – and that on Turkish ? - Oh , my God !",0.12700000405311584,senti:negneg,civil,AUT,policy,senti:negneg,strong neg,negative,TUR,weog,country,3.131,transparent_fallback_heuristic,abstract_leaning,52,"","problem, system",general_migration,"",integration,education,keyword_rules,neutral_reporting,"","Classify the policy diffusion agency of this country/entity mention. Labels: learning_emulation_from, coercion_intervention_to, competition, exchange_cooperation, neutral_reporting. Mentioned entity: Turkey. Context: But that this one has written to your official by “ system media ” , by “ consultation ” , by “ people betrayal ” , by “ cultural migration ” , by “ US re-education propaganda ” , that he calls the EU President a “ European traitor ” and “ US collaborator ” , since you have not noticed anything , Mr. Rosenkranz ? You have no other concern than that Turkish boys talk about football results in Turkey during the break – and that on Turkish ? - Oh , my God ! That 's a problem , but what this one of your officials writes like this is not a problem ?- Oh , my God !",keyword_rules_llm_ready,economic_contribution,labor,other,"",keyword_rules_llm_ready,positive_benefit,"",Turkey during the break,external_transnational,surface_srl_rules,AUT,ADVERSARY_BLAME,NEG,Turkish boys talk about football results,0.8,The mention of Turkish officials writing negatively about the EU is framed as a problem.,"",false
